yearID,W,ERA,RA
1936,57,6.24,1064
1936,87,4.47,794
1936,82,4.58,799
1937,80,4.48,775
1937,62,4.13,772
1937,79,3.22,556
1937,86,4.17,730
1937,93,3.97,682
1937,56,3.94,707
1937,83,4.39,768
1937,89,4.87,841
1937,95,3.43,602
1937,102,3.65,671
1937,54,4.85,854
1937,61,5.05,869
1937,86,3.56,646
1937,46,6,1023
1937,81,3.98,733
1937,73,4.58,841
1938,88,4.46,751
1938,69,4.07,710
1938,77,3.4,618
1938,65,4.36,752
1938,89,3.37,598
1938,82,3.62,634
1938,86,4.6,782
1938,84,4.79,795
1938,83,3.62,637
1938,99,3.91,710
1938,53,5.48,956
1938,45,4.93,840
1938,86,3.46,630
1938,55,5.8,962
1938,71,3.84,721
1938,75,4.94,873
1939,89,4.56,795
1939,84,3.64,645
1939,63,3.71,659
1939,85,4.31,737
1939,84,3.8,678
1939,97,3.27,595
1939,87,4.08,700
1939,81,4.29,762
1939,77,4.07,685
1939,106,3.31,556
1939,55,5.79,1022
1939,45,5.17,856
1939,68,4.15,721
1939,43,6.01,1035
1939,92,3.59,633
1939,65,4.6,797
1940,82,4.89,825
1940,88,3.5,621
1940,65,4.36,745
1940,82,3.74,672
1940,75,3.54,636
1940,100,3.05,528
1940,89,3.63,637
1940,90,4.01,717
1940,72,3.79,659
1940,88,3.89,671
1940,54,5.22,932
1940,50,4.4,750
1940,78,4.36,783
1940,67,5.12,882
1940,84,3.83,699
1940,64,4.59,811
1941,84,4.19,750
1941,100,3.14,581
1941,62,3.95,720
1941,77,3.52,649
1941,70,3.72,670
1941,88,3.17,564
1941,75,3.9,668
1941,75,4.18,743
1941,74,3.94,706
1941,101,3.53,631
1941,64,4.83,840
1941,43,4.5,793
1941,81,3.48,643
1941,70,4.72,823
1941,97,3.19,589
1941,70,4.35,798
1942,93,3.44,594
1942,104,2.84,510
1942,59,3.76,645
1942,66,3.58,609
1942,68,3.6,665
1942,76,2.82,545
1942,75,3.59,659
1942,73,3.13,587
1942,85,3.31,600
1942,103,2.91,507
1942,55,4.45,801
1942,42,4.12,706
1942,66,3.58,631
1942,82,3.59,637
1942,106,2.55,482
1942,62,4.58,817
1943,68,3.45,607
1943,81,3.88,674
1943,68,3.25,612
1943,82,3.2,594
1943,74,3.31,600
1943,87,3.13,543
1943,82,3.15,577
1943,78,3,560
1943,55,4.08,713
1943,98,2.93,542
1943,49,4.05,717
1943,64,3.79,676
1943,80,3.08,605
1943,72,3.41,604
1943,105,2.57,475
1943,84,3.18,595
1944,77,3.82,676
1944,63,4.68,832
1944,65,3.67,674
1944,71,3.58,662
1944,75,3.59,669
1944,89,2.97,537
1944,72,3.65,677
1944,88,3.09,581
1944,67,4.29,773
1944,83,3.39,617
1944,72,3.26,594
