Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
2657,2019,0.254,0.3,0.309,0.312,0.253,168,662,2397,88.3,11,12,32,718,4.44,168,21,39,157,0.219,0.054,38.7,6.4,3.86,0.0030000000000000027,22.4375,4.468162811189995
2001,2019,0.265,0.313,0.338,0.343,0.261,117,441,1992,88.7,4,6,25,505,5.16,117,15,53,100,0.198,0.105,38.7,6.1,3.38,0.0050000000000000044,20.2,4.971789197084677
1233,2019,0.226,0.314,0.308,0.304,0.221,62,274,2516,91.4,3,5,14,313,4.07,62,12,30,105,0.335,0.096,34.1,8.1,2.09,-0.0040000000000000036,22.357142857142858,4.200315741220436
2280,2019,0.204,0.239,0.268,0.285,0.222,107,524,2072,89.3,9,7,26,568,3.33,107,23,31,153,0.269,0.055,32.5,7.1,4.73,0.01699999999999996,21.846153846153847,3.5911032566586942
3244,2019,0.245,0.292,0.3,0.325,0.258,191,780,2435,87.3,9,9,34,844,3.9,191,30,43,203,0.241,0.051,41.8,9,6.48,0.025000000000000022,24.823529411764707,4.242673457441971
676,2019,0.278,0.333,0.336,0.354,0.298,44,158,2186,88.7,2,3,8,174,5.22,44,5,14,37,0.213,0.08,36.9,5.7,5.47,0.01799999999999996,21.75,4.933996575988073
2721,2019,0.295,0.31,0.368,0.352,0.283,195,660,2172,87.3,6,11,32,721,5.46,195,36,50,116,0.161,0.069,39.1,7.7,5.17,-0.016000000000000014,22.53125,5.318139208447772
3232,2019,0.264,0.295,0.311,0.315,0.257,210,794,2246,84.3,16,13,34,866,3.99,210,23,56,147,0.17,0.065,35.2,4.9,3.1,0.0040000000000000036,25.470588235294116,3.9511163824131454
673,2019,0.303,0.379,0.376,0.328,0.246,44,145,1982,88.9,0,1,8,168,5.5,44,5,18,37,0.22,0.107,43.1,5.5,3.58,-0.04799999999999999,21,5.241323738025796
2876,2019,0.273,0.323,0.33,0.335,0.269,181,662,2418,83.1,14,10,31,745,4.19,181,22,64,153,0.205,0.086,39.2,6.5,3.15,0.0050000000000000044,24.032258064516128,4.301981713995173
2199,2019,0.29,0.318,0.36,0.363,0.281,143,493,1944,88.9,6,7,29,562,4.76,143,26,55,104,0.185,0.098,35.5,7.8,6.62,0.0030000000000000027,19.379310344827587,4.722425479058382
3179,2019,0.192,0.244,0.254,0.281,0.217,135,704,2257,89.3,11,8,33,772,2.75,135,25,55,231,0.299,0.071,30.3,6.9,4.91,0.027000000000000024,23.393939393939394,3.1281009628022423
2848,2019,0.245,0.275,0.316,0.34,0.264,160,652,2202,90.7,16,7,33,757,3.35,160,22,86,136,0.18,0.114,38.8,6.8,2.77,0.02400000000000002,22.939393939393938,3.6975604131474356
3139,2019,0.215,0.299,0.27,0.281,0.222,154,717,2477,87.3,16,6,33,790,3.05,154,15,57,240,0.304,0.072,32.8,5,4.74,0.01100000000000001,23.939393939393938,3.274894974699956
1891,2019,0.241,0.343,0.301,0.27,0.207,96,399,2273,89.5,6,8,23,441,4.29,96,14,40,147,0.333,0.091,32,4.7,3.24,-0.030999999999999972,19.17391304347826,4.050804686567814
2290,2019,0.249,0.293,0.316,0.319,0.241,127,510,2231,86.5,3,12,23,483,4.5,104,16,51,103,0.213,0.106,34.7,6.4,5.91,0.0030000000000000027,21,4.426148649544661
903,2019,0.186,0.265,0.222,0.235,0.181,40,215,2445,92.8,6,1,12,230,1.78,40,4,14,76,0.33,0.061,32.1,5.7,4.08,0.012999999999999984,19.166666666666668,2.4464531020014815
2057,2019,0.228,0.264,0.273,0.299,0.256,121,530,2148,82.4,11,6,28,563,4.13,121,15,20,117,0.208,0.036,26.2,7,3.56,0.025999999999999968,20.107142857142858,3.9520931018175167
3358,2019,0.244,0.288,0.301,0.303,0.233,190,779,2563,88.4,14,10,32,863,3.59,190,30,68,200,0.232,0.079,30.4,7,5.56,0.0020000000000000018,26.96875,3.719397869512003
3553,2019,0.243,0.322,0.294,0.292,0.231,195,801,2436,91.9,16,11,33,875,3.67,195,21,59,246,0.281,0.067,33.8,5.9,3.32,-0.0020000000000000018,26.515151515151516,3.7844828725687707
2770,2019,0.222,0.322,0.269,0.258,0.206,144,650,2337,89.6,11,7,27,693,2.92,144,18,33,243,0.351,0.048,35.5,6.6,3.74,-0.01100000000000001,25.666666666666668,3.32710336620349
3299,2019,0.227,0.295,0.285,0.308,0.229,169,746,2245,86.7,14,7,33,835,3.25,169,24,70,238,0.285,0.084,38.7,9.4,4.66,0.02300000000000002,25.303030303030305,3.70817983121871
2690,2019,0.236,0.266,0.296,0.316,0.254,153,647,2081,86.4,11,8,30,712,3.85,153,22,58,134,0.188,0.081,28.3,6.6,6.62,0.020000000000000018,23.733333333333334,3.817588298258918
684,2019,0.213,0.259,0.282,0.281,0.217,33,155,2343,88.8,2,1,9,174,3.3,33,5,13,44,0.253,0.075,29.8,4.4,6.34,-9.999999999999454e-4,19.333333333333332,3.3165063424754524
