Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
2798,2018,0.28,0.307,0.326,0.356,0.303,207,739,2116,85.4,10,10,31,784,4.36,207,23,34,119,0.152,0.043,39.6,6.7,4.27,0.02999999999999997,25.29032258064516,4.448784138007821
2603,2018,0.224,0.301,0.287,0.293,0.225,134,598,2185,91.3,11,6,28,645,3.76,134,23,42,208,0.322,0.065,42.1,9.4,3.82,0.006000000000000005,23.035714285714285,4.150238937676804
2448,2018,0.246,0.274,0.306,0.324,0.254,151,614,1840,81.7,9,5,32,662,3.72,151,24,40,130,0.196,0.06,34.6,9,5.71,0.018000000000000016,20.6875,3.97995633534194
2564,2018,0.267,0.32,0.311,0.318,0.267,172,643,2310,85.3,13,9,29,686,4,172,17,32,145,0.211,0.047,35,5.4,3.99,0.007000000000000006,23.655172413793103,4.003289993839119
732,2018,0.263,0.319,0.327,0.315,0.235,41,156,2370,81.9,2,4,8,181,4.46,41,5,18,40,0.221,0.099,24,6.6,4.19,-0.01200000000000001,22.625,4.045619937900197
3004,2018,0.245,0.282,0.271,0.293,0.25,186,760,2340,88.8,18,4,32,808,2.83,186,16,29,146,0.181,0.036,29.4,5.1,4.16,0.021999999999999964,25.25,3.072287723273412
1419,2018,0.221,0.253,0.286,0.356,0.282,68,308,1998,88.3,8,2,15,355,3.2,68,9,36,71,0.2,0.101,37,7.7,4.76,0.07,23.666666666666668,3.598797380215996
2499,2018,0.237,0.272,0.309,0.33,0.254,132,556,2568,88.1,6,9,22,530,4.45,112,16,52,107,0.202,0.098,35.2,6.1,6.11,0.02100000000000002,24.09090909090909,4.383789220375421
2386,2018,0.277,0.325,0.34,0.338,0.265,150,542,2153,89.6,7,11,30,609,4.95,150,19,54,121,0.199,0.089,35,6.3,2.94,-0.0020000000000000018,20.3,4.750500546363564
2587,2018,0.199,0.258,0.281,0.283,0.206,108,542,2182,88,8,9,28,615,3.34,108,20,59,182,0.296,0.096,34.7,6.6,2.75,0.0019999999999999463,21.964285714285715,3.6148930659534044
2918,2018,0.178,0.242,0.246,0.278,0.204,112,630,2286,90.5,21,5,31,700,1.89,112,16,64,221,0.316,0.091,32.7,7.2,4.29,0.03200000000000003,22.580645161290324,2.5705187747912643
2552,2018,0.235,0.259,0.312,0.327,0.247,138,587,2472,88.9,12,8,28,640,4.18,138,25,38,132,0.206,0.059,35.3,10.8,3.59,0.015000000000000013,22.857142857142858,4.393240179260556
1404,2018,0.329,0.345,0.39,0.369,0.299,116,353,2058,89.3,2,7,22,397,6.22,116,16,36,52,0.131,0.091,39.1,6.8,5.12,-0.02100000000000002,18.045454545454547,5.81943148086314
877,2018,0.297,0.306,0.349,0.38,0.321,66,222,1838,89,5,5,12,241,5.93,66,7,18,22,0.091,0.075,47.8,6.5,5.81,0.031000000000000028,20.083333333333332,5.755487051881029
