Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,spin_rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K_percent,BB_percent,hard_hit_percent,barrel_percent,ERA_t1,BFP_per_G,xwOBA_minus_wOBA,luck_adj_ERA
2663,2015,0.304,0.336,0.339,0.357,0.3,198,651,1746,90.5,6,11,30,714,4.26,198,11,45,86,0.12,0.063,36.8,4.6,5.07,23.8,0.01799999999999996,4.105254506115672
2638,2015,0.285,0.339,0.316,0.32,0.266,175,615,1922,90.8,14,3,27,673,4.2,175,10,49,121,0.18,0.073,34.6,4.8,4.76,24.925925925925927,0.0040000000000000036,4.048280786522673
2630,2015,0.252,0.293,0.31,0.324,0.255,163,648,1997,91.8,11,8,29,706,4.56,163,25,40,157,0.222,0.057,33.8,7.6,4.22,24.344827586206897,0.014000000000000012,4.507419048393219
2572,2015,0.268,0.315,0.317,0.321,0.261,164,612,2245,88.7,7,15,30,672,4.18,164,18,48,136,0.202,0.071,34.2,5.3,4.57,22.4,0.0040000000000000036,4.080870781607142
2548,2015,0.278,0.335,0.322,0.294,0.245,176,634,2012,90.4,12,10,27,668,4.37,176,21,21,156,0.234,0.031,34,5.7,4.82,24.74074074074074,-0.028000000000000025,4.241228337940114
2532,2015,0.252,0.281,0.33,0.311,0.246,152,603,2199,88.9,10,10,25,660,4.99,152,29,49,138,0.209,0.074,31.1,6.1,5.87,26.4,-0.019000000000000017,4.628160192533077
2478,2015,0.264,0.296,0.334,0.346,0.27,151,573,2202,85.8,9,12,27,636,4.62,151,22,43,121,0.19,0.068,36.7,8.2,3.71,23.555555555555557,0.011999999999999955,4.650304651095914
2462,2015,0.272,0.304,0.324,0.315,0.254,158,581,2129,87.5,6,6,27,640,4.3,158,18,40,111,0.173,0.062,31.1,5.2,4.39,23.703703703703702,-0.009000000000000008,4.07256900176683
2448,2015,0.264,0.275,0.33,0.317,0.246,163,617,2050,77.8,7,12,26,669,4.64,163,24,33,90,0.135,0.049,28.5,6.2,5.06,25.73076923076923,-0.013000000000000012,4.306997052026892
2441,2015,0.239,0.288,0.307,0.324,0.246,132,553,2242,88.2,7,5,27,621,3.67,132,19,56,145,0.233,0.09,37.1,7,5.15,23,0.017000000000000015,3.8995828152960703
2409,2015,0.236,0.273,0.289,0.312,0.255,145,614,2087,87.4,11,6,34,666,3.75,145,16,40,126,0.189,0.06,33.7,4.9,3.77,19.58823529411765,0.02300000000000002,3.737620899437574
2393,2015,0.294,0.323,0.359,0.342,0.276,176,598,1956,89.1,6,14,26,666,5.63,176,23,57,104,0.156,0.086,32,4.8,4.51,25.615384615384617,-0.01699999999999996,4.9224552165981335
2378,2015,0.276,0.32,0.335,0.34,0.273,145,526,2111,92,10,6,25,587,4.82,145,15,49,110,0.187,0.083,41.1,4.5,5.18,23.48,0.0050000000000000044,4.559421351995537
2360,2015,0.264,0.3,0.327,0.339,0.262,137,518,2233,90.3,7,8,30,588,4.08,137,15,53,102,0.173,0.09,32.8,4.5,3.51,19.6,0.01200000000000001,3.8871645671469235
2290,2015,0.221,0.243,0.287,0.314,0.248,126,571,1954,88.1,12,7,24,609,3.51,126,25,27,139,0.228,0.044,36.7,7.7,3.07,25.375,0.027000000000000024,3.805388356625784
2255,2015,0.293,0.305,0.346,0.372,0.308,184,629,2125,88.1,11,9,27,651,4.4,184,29,16,94,0.144,0.025,40.6,7.6,5.95,24.11111111111111,0.026000000000000023,4.534352551616394
2150,2015,0.229,0.268,0.276,0.268,0.221,113,493,2419,89.3,5,8,20,535,3.38,113,13,32,113,0.211,0.06,27.6,4.1,3.04,26.75,-0.008000000000000007,3.2568672741518987
2089,2015,0.259,0.288,0.326,0.311,0.24,135,522,1827,86.9,7,10,25,569,4.46,135,24,35,116,0.204,0.062,34.3,6,3.88,22.76,-0.015000000000000013,4.341297834103866
2067,2015,0.26,0.283,0.315,0.322,0.258,128,493,2094,84.6,9,5,24,543,3.92,128,17,36,91,0.168,0.066,29.6,5.3,5.71,22.625,0.007000000000000006,3.7905751739889166
2043,2015,0.236,0.316,0.285,0.275,0.222,115,488,2159,92,11,7,23,523,3.46,115,14,26,155,0.296,0.05,33.3,4.4,3.6,22.73913043478261,-0.009999999999999953,3.4779491576033243
1898,2015,0.276,0.303,0.333,0.356,0.289,126,456,2033,88,6,9,21,502,4.05,126,15,38,77,0.153,0.076,38.2,5.8,4.11,23.904761904761905,0.022999999999999965,4.115520729879679
1876,2015,0.251,0.29,0.318,0.317,0.248,109,434,2154,92.2,4,7,25,470,4.25,109,17,29,103,0.219,0.062,34.2,6.3,3.61,18.8,-0.0010000000000000009,4.216273530850249
1868,2015,0.24,0.274,0.29,0.316,0.264,117,487,1985,85.4,9,5,20,516,3.54,117,18,21,111,0.215,0.041,34.2,5.5,4.12,25.8,0.026000000000000023,3.6553348164217394
1858,2015,0.272,0.304,0.318,0.345,0.28,119,438,2191,88,4,8,23,482,4.5,119,11,33,77,0.16,0.068,35.9,4.1,2.28,20.956521739130434,0.02699999999999997,4.169783946085611
1857,2015,0.225,0.27,0.256,0.284,0.237,106,471,2235,87.3,10,6,20,510,2.43,106,6,30,97,0.19,0.059,30.5,3.7,4.67,25.5,0.02799999999999997,2.689780471271721
1754,2015,0.302,0.323,0.363,0.347,0.279,130,430,1766,90.9,5,10,20,478,4.72,130,14,37,60,0.126,0.077,36.9,5,4.86,23.9,-0.016000000000000014,4.476229223472012
1716,2015,0.26,0.33,0.292,0.283,0.242,114,438,2221,87.4,7,7,18,469,3.26,114,6,23,107,0.228,0.049,31.7,1.8,4.78,26.055555555555557,-0.009000000000000008,2.581379348219617
1678,2015,0.253,0.288,0.317,0.347,0.281,104,411,2085,89,7,5,17,457,4,104,12,36,82,0.179,0.079,40.6,4.8,3.38,26.88235294117647,0.02999999999999997,4.0176661351912095
1654,2015,0.295,0.316,0.341,0.335,0.277,120,407,1907,84.2,5,7,25,449,4.19,120,14,24,63,0.14,0.053,32.6,5.3,4.64,17.96,-0.006000000000000005,4.044768789970804
1566,2015,0.228,0.29,0.3,0.3,0.226,81,356,2222,88.7,3,7,18,395,4.15,81,11,28,104,0.263,0.071,30.9,6.3,2.53,21.944444444444443,0,4.063346044774224
1529,2015,0.269,0.293,0.344,0.338,0.269,99,368,2210,89.3,6,11,17,413,5.07,99,13,33,63,0.153,0.08,37.4,6.8,4.9,24.294117647058822,-0.00599999999999995,4.910900079774363
1463,2015,0.297,0.336,0.382,0.361,0.281,100,337,2217,91.3,2,9,18,305,7.06,84,14,25,50,0.164,0.082,37.3,7.7,4.22,16.944444444444443,-0.02100000000000002,6.444953054798533
1336,2015,0.308,0.327,0.379,0.364,0.296,103,334,2208,88.6,4,8,18,373,6.88,103,13,27,50,0.134,0.072,33.8,5.2,5.82,20.72222222222222,-0.015000000000000013,5.890661591234364
1254,2015,0.272,0.329,0.321,0.331,0.269,91,335,2097,89.2,6,5,16,357,3.6,91,9,17,78,0.218,0.048,41.5,6.2,5.15,22.3125,0.010000000000000009,3.867172010535639
1215,2015,0.285,0.326,0.318,0.323,0.274,88,309,1957,88.7,3,6,14,339,4.46,88,3,24,48,0.142,0.071,33.3,4.5,4.39,24.214285714285715,0.0050000000000000044,4.145655631198774
1178,2015,0.239,0.253,0.315,0.313,0.227,67,280,1858,74.9,5,4,16,310,4.09,67,12,27,52,0.168,0.087,29.1,6.5,3.33,19.375,-0.0020000000000000018,3.979190117096964
1136,2015,0.23,0.285,0.304,0.326,0.237,58,252,2064,85.8,5,2,12,275,3.11,58,11,20,77,0.28,0.073,35.6,10.7,4.88,22.916666666666668,0.02200000000000002,3.5760582151647964
1056,2015,0.298,0.332,0.361,0.354,0.27,74,248,2309,88.5,3,4,12,278,5.43,74,9,23,46,0.165,0.083,37.6,8.3,4.08,23.166666666666668,-0.007000000000000006,5.282874599212263
949,2015,0.195,0.199,0.274,0.325,0.242,47,241,2380,85.8,7,2,10,251,3.02,47,13,8,57,0.227,0.032,36.4,11.4,4.4,25.1,0.05099999999999999,3.5294495993537747
767,2015,0.29,0.335,0.331,0.325,0.269,54,186,1883,89.8,2,5,10,212,5.14,54,2,19,30,0.142,0.09,36.3,2.5,5.83,21.2,-0.006000000000000005,4.0441427756162085
655,2015,0.293,0.331,0.353,0.327,0.264,44,150,1961,85.6,2,2,8,171,4.46,44,4,17,27,0.158,0.099,38.1,4,4.83,21.375,-0.025999999999999968,4.169245514051803
616,2015,0.329,0.36,0.371,0.333,0.293,55,167,2102,85.9,0,3,8,183,5.9,55,5,11,25,0.137,0.06,30.8,3.4,4.68,22.875,-0.03799999999999998,4.704786639427896
3668,2016,0.207,0.256,0.272,0.282,0.211,171,827,2533,90,16,9,34,903,3.04,171,30,57,254,0.281,0.063,32.9,7.5,3.82,26.558823529411764,0.009999999999999953,3.395925103282793
3595,2016,0.258,0.314,0.309,0.302,0.244,227,879,2055,89.4,17,9,35,951,3.99,227,30,50,228,0.24,0.053,33,6.3,3.38,27.17142857142857,-0.007000000000000006,4.0042478952132115
3571,2016,0.213,0.268,0.269,0.286,0.219,179,841,2293,87.4,15,9,34,912,2.74,179,26,54,251,0.275,0.059,31.2,6.7,3.32,26.823529411764707,0.01699999999999996,3.1187420525101346
3563,2016,0.199,0.259,0.267,0.263,0.199,165,830,2371,90.6,20,7,34,902,2.96,165,31,56,284,0.315,0.062,29.5,6.1,2.51,26.529411764705884,-0.0040000000000000036,3.209939528940642
3431,2016,0.227,0.281,0.282,0.298,0.237,190,837,2218,88.6,17,10,32,907,3.34,190,27,45,233,0.257,0.05,33.2,5.7,2.9,28.34375,0.016000000000000014,3.5142822127642406
3410,2016,0.23,0.269,0.274,0.307,0.247,193,840,2361,86.6,22,4,33,890,3.15,193,23,32,189,0.212,0.036,35.1,7,4.65,26.96969696969697,0.032999999999999974,3.4878435544514508
3409,2016,0.238,0.3,0.304,0.309,0.232,183,769,2171,91.7,9,19,33,850,4.02,183,30,67,233,0.274,0.079,40.5,8.4,4.07,25.757575757575758,0.0050000000000000044,4.280444467738525
3378,2016,0.236,0.269,0.312,0.331,0.245,173,733,2311,89.2,11,11,33,818,3.68,173,33,66,184,0.225,0.081,38.7,7.7,5.38,24.78787878787879,0.019000000000000017,3.9666904894594737
3355,2016,0.228,0.274,0.282,0.314,0.245,173,758,2173,88.9,16,10,34,855,2.83,173,17,73,172,0.201,0.085,30.5,5.4,4.67,25.147058823529413,0.03200000000000003,3.09792312612941
3308,2016,0.241,0.273,0.306,0.327,0.257,170,706,2101,88.8,10,6,33,773,3.69,170,29,54,166,0.215,0.07,35.9,8.4,4.14,23.424242424242426,0.02100000000000002,3.9523168404651488
3299,2016,0.238,0.296,0.276,0.297,0.25,195,818,2136,88.3,18,5,32,881,2.79,195,15,45,198,0.225,0.051,33.2,4.4,4.52,27.53125,0.020999999999999963,3.0399939975200834
3285,2016,0.245,0.288,0.304,0.324,0.246,184,752,2240,89.6,7,7,21,549,4.08,125,20,40,109,0.199,0.073,31.3,6.4,5.52,26.142857142857142,0.020000000000000018,4.033308356469596
3282,2016,0.246,0.294,0.297,0.3,0.248,192,779,2006,88.5,13,12,32,837,3.2,192,22,50,181,0.216,0.06,34.2,4.5,4.49,26.15625,0.0030000000000000027,3.3332857630629826
3253,2016,0.243,0.299,0.307,0.323,0.248,185,760,1999,88.9,15,5,32,848,3.32,185,24,77,200,0.236,0.091,35.7,6,4.2,26.5,0.016000000000000014,3.5680345056664935
3232,2016,0.286,0.322,0.343,0.354,0.277,217,758,2181,88.3,10,11,34,853,5.37,217,23,76,139,0.163,0.089,35.5,6.3,4.19,25.08823529411765,0.010999999999999954,5.042352965826564
3195,2016,0.287,0.334,0.335,0.338,0.279,220,766,2334,84.7,13,9,33,847,4.62,220,22,59,161,0.19,0.07,30.2,5.9,5.11,25.666666666666668,0.0030000000000000027,4.326894062627216
3190,2016,0.249,0.288,0.303,0.316,0.254,190,764,2366,91.3,12,11,32,829,3.81,190,24,54,167,0.201,0.065,35.1,6.1,4.42,25.90625,0.013000000000000012,3.90641503286966
3189,2016,0.216,0.274,0.275,0.287,0.225,170,788,2399,90.1,18,9,32,860,3.14,170,22,57,227,0.264,0.066,30.4,6,2.25,26.875,0.011999999999999955,3.344708422572565
3176,2016,0.267,0.355,0.332,0.325,0.25,185,694,2226,91.9,8,15,32,776,4.9,185,24,71,218,0.281,0.091,39.5,6.9,2.89,24.25,-0.007000000000000006,4.842270023395007
3161,2016,0.211,0.258,0.264,0.283,0.226,154,730,2287,89.3,19,5,32,796,2.44,154,21,52,197,0.247,0.065,29.2,4.1,4.33,24.875,0.01899999999999996,2.716740762970211
3159,2016,0.282,0.34,0.338,0.299,0.239,206,730,2386,84,13,10,33,796,4.34,206,25,54,177,0.222,0.068,28.3,4.8,3.55,24.12121212121212,-0.039000000000000035,3.963910508281946
3133,2016,0.288,0.304,0.377,0.368,0.282,208,723,2203,86.5,2,7,11,284,4.28,69,9,27,57,0.201,0.095,33.3,8.4,5.23,25.818181818181817,-0.009000000000000008,4.3274826641114705
3124,2016,0.194,0.242,0.261,0.298,0.226,138,710,2366,91.7,18,8,31,795,3.1,138,16,76,190,0.239,0.096,29.8,4.8,3.53,25.64516129032258,0.03699999999999998,3.213963187424297
3116,2016,0.262,0.321,0.317,0.325,0.256,179,684,2261,87.5,11,11,32,765,4.57,179,19,59,171,0.224,0.077,33.8,5.9,2.96,23.90625,0.008000000000000007,4.397401511117004
3113,2016,0.262,0.311,0.319,0.324,0.257,183,698,2142,91.2,9,12,30,757,3.61,183,28,47,174,0.23,0.062,33.7,7.3,4.68,25.233333333333334,0.0050000000000000044,3.8083510213145333
3102,2016,0.264,0.31,0.312,0.314,0.262,209,792,2314,90.3,9,10,32,855,4.37,209,21,54,166,0.194,0.063,41.9,4.9,3.09,26.71875,0.0020000000000000018,4.315252820738873
3092,2016,0.248,0.294,0.31,0.334,0.262,179,721,2264,89.1,12,8,35,811,4.26,179,20,70,168,0.207,0.086,39.5,5.7,4.19,23.17142857142857,0.02400000000000002,4.2791357158312255
3078,2016,0.27,0.29,0.323,0.364,0.294,205,758,2034,89.7,10,11,33,855,4.39,205,18,76,103,0.12,0.089,37.4,6,4.82,25.90909090909091,0.04099999999999998,4.361912467062035
3061,2016,0.22,0.242,0.307,0.329,0.243,154,699,2066,86,14,8,34,792,3.76,154,31,73,162,0.205,0.092,35,7.5,4.26,23.294117647058822,0.02200000000000002,3.9542361343222057
3055,2016,0.278,0.315,0.332,0.34,0.279,204,735,1945,88.4,14,8,32,814,4.79,204,22,59,138,0.17,0.072,34.9,5.6,5.05,25.4375,0.008000000000000007,4.549756247608192
3028,2016,0.251,0.281,0.313,0.3,0.239,187,745,2269,85.6,11,14,33,811,3.65,187,30,42,167,0.206,0.052,35,5.7,4.71,24.575757575757574,-0.013000000000000012,3.768078074416624
3028,2016,0.233,0.287,0.286,0.291,0.229,169,724,2080,92.1,16,9,31,809,3.04,169,15,70,174,0.215,0.087,30.5,3.8,3.64,26.096774193548388,0.0050000000000000044,3.073907961843453
3017,2016,0.266,0.34,0.335,0.307,0.234,184,693,2038,90.7,6,12,32,756,4.82,184,27,53,207,0.274,0.07,39.1,6.7,4.39,23.625,-0.028000000000000025,4.762487744712072
3000,2016,0.277,0.301,0.34,0.34,0.274,195,705,1984,84,12,13,32,779,4.64,195,24,62,115,0.148,0.08,35.8,4.6,4.88,24.34375,0,4.338871177444018
2984,2016,0.268,0.303,0.345,0.337,0.252,186,693,2248,91.4,8,16,32,807,4.62,186,25,86,140,0.173,0.107,35.1,5.7,3.49,25.21875,-0.007999999999999952,4.441882344579709
2971,2016,0.223,0.262,0.281,0.306,0.238,157,703,2206,86.3,7,10,30,758,3.21,157,22,41,167,0.22,0.054,33.6,6.5,4.49,25.266666666666666,0.024999999999999967,3.479327405674377
2935,2016,0.236,0.273,0.278,0.3,0.253,179,759,1982,87.2,14,4,31,805,3.07,179,22,36,165,0.205,0.045,36.3,4.3,4.74,25.967741935483872,0.021999999999999964,3.2587387858168277
2931,2016,0.245,0.285,0.296,0.322,0.258,168,685,2132,89,7,11,30,748,3.38,168,19,53,149,0.199,0.071,31.7,5.9,3.28,24.933333333333334,0.026000000000000023,3.524857490414277
2930,2016,0.229,0.283,0.281,0.292,0.23,150,655,2296,84.1,16,11,32,716,3.48,150,20,50,179,0.25,0.07,25.7,5.6,4.22,22.375,0.010999999999999954,3.4130169439200735
2925,2016,0.243,0.276,0.304,0.333,0.268,173,711,2172,85.7,12,10,32,772,3.71,173,24,45,154,0.199,0.058,28.2,6.9,4.73,24.125,0.029000000000000026,3.7191097027306057
2919,2016,0.224,0.268,0.277,0.323,0.256,161,719,2344,92.1,15,2,30,790,3,161,15,63,161,0.204,0.08,39.8,6.1,4.25,26.333333333333332,0.045999999999999985,3.4048901225885078
2888,2016,0.207,0.252,0.254,0.266,0.215,142,686,2106,85.2,16,8,31,745,2.13,142,15,44,170,0.228,0.059,26.2,3.4,3.03,24.032258064516128,0.01200000000000001,2.404650668926523
2843,2016,0.203,0.234,0.279,0.301,0.223,132,651,2362,84,9,9,29,723,3.48,132,23,65,165,0.228,0.09,30.9,7.2,4.98,24.93103448275862,0.021999999999999964,3.6482404844658487
2841,2016,0.217,0.27,0.286,0.288,0.209,137,631,2318,85.8,8,7,17,411,2.47,67,8,41,115,0.28,0.1,34.4,7.3,3.32,24.176470588235293,0.0020000000000000018,2.9996757108082472
2832,2016,0.271,0.29,0.316,0.353,0.294,196,723,2254,90.8,10,11,31,786,4.11,196,22,47,108,0.137,0.06,38.5,5.5,4.19,25.35483870967742,0.03699999999999998,4.135525767636783
2795,2016,0.273,0.333,0.328,0.31,0.249,176,644,2123,91.2,9,10,28,715,4.04,176,23,54,168,0.235,0.076,35,4.5,4.15,25.535714285714285,-0.018000000000000016,3.9108473638854235
2793,2016,0.243,0.313,0.307,0.316,0.242,153,630,2233,91.4,10,10,29,712,4.61,153,18,59,185,0.26,0.083,34.7,6.2,3.67,24.551724137931036,0.009000000000000008,4.471441864188476
2732,2016,0.288,0.329,0.346,0.352,0.28,187,649,2159,86.7,7,8,19,469,4.98,117,18,34,82,0.175,0.072,37.2,6.6,5.61,24.68421052631579,0.006000000000000005,4.827507852896986
2670,2016,0.259,0.305,0.317,0.315,0.258,168,648,2077,85,9,12,26,701,4.55,168,20,48,144,0.205,0.068,36.9,6.9,2.9,26.96153846153846,-0.0020000000000000018,4.533636614635346
2659,2016,0.288,0.321,0.323,0.333,0.281,203,705,2154,88.8,9,12,30,757,4.69,203,20,30,125,0.165,0.04,36.8,6.2,4.21,25.233333333333334,0.010000000000000009,4.58155240103716
2639,2016,0.266,0.29,0.348,0.355,0.273,155,583,2175,87.3,9,11,31,647,4.39,155,28,53,120,0.185,0.082,30,8.7,2.74,20.870967741935484,0.007000000000000006,4.332280855910614
2612,2016,0.269,0.278,0.327,0.342,0.285,187,694,2482,85.1,13,9,30,725,4.4,187,36,20,118,0.163,0.028,32.2,7.2,4.98,24.166666666666668,0.015000000000000013,4.327094985296173
2578,2016,0.268,0.31,0.334,0.318,0.253,179,668,2356,87.6,10,13,32,741,4.67,179,26,57,150,0.202,0.077,35.3,5.7,4.3,23.15625,-0.016000000000000014,4.48639582858994
2546,2016,0.25,0.287,0.316,0.318,0.251,147,589,2396,90.6,12,9,27,669,3.87,147,15,70,117,0.175,0.105,35.4,4,4.69,24.77777777777778,0.0020000000000000018,3.731180659808277
2503,2016,0.262,0.299,0.318,0.321,0.257,161,615,2247,88,13,7,26,667,4.37,161,23,41,134,0.201,0.061,30.9,6.9,3.2,25.653846153846153,0.0030000000000000027,4.25644685910208
2492,2016,0.268,0.319,0.337,0.324,0.247,150,560,2037,86.9,8,12,29,638,5.44,150,16,72,125,0.196,0.113,32.3,5,6.81,22,-0.013000000000000012,4.841869863433891
2476,2016,0.266,0.316,0.31,0.332,0.267,166,624,1767,88.1,9,13,27,668,3.88,166,18,30,143,0.214,0.045,35,7,4.52,24.74074074074074,0.02200000000000002,4.012327758667754
2468,2016,0.298,0.332,0.352,0.347,0.28,175,587,2061,87.8,6,11,25,653,5.07,175,20,55,104,0.159,0.084,33.5,6.1,5.07,26.12,-0.0050000000000000044,4.75675507029971
2453,2016,0.24,0.274,0.316,0.353,0.273,138,576,2007,87.6,11,8,25,655,3.82,138,19,65,122,0.186,0.099,34.4,5.9,4.36,26.2,0.03699999999999998,3.8885470102866795
2403,2016,0.235,0.307,0.304,0.31,0.228,121,515,2229,92.1,11,6,25,584,3.87,121,16,63,161,0.276,0.108,44.1,7.8,4.28,23.36,0.006000000000000005,4.189076191121387
2385,2016,0.218,0.298,0.277,0.276,0.214,119,546,2203,92,15,4,24,598,3.6,119,15,44,183,0.306,0.074,33.6,6,2.52,24.916666666666668,-0.0010000000000000009,3.726340498948804
2371,2016,0.31,0.342,0.36,0.341,0.276,187,604,1970,91.1,9,10,35,662,5.71,187,23,46,105,0.159,0.069,40.6,5.8,4.67,18.914285714285715,-0.01899999999999996,5.355725970050926
2370,2016,0.279,0.321,0.361,0.367,0.277,142,509,2140,91.2,4,7,16,347,4.76,80,13,30,67,0.193,0.086,40.4,7.8,3.4,21.6875,0.006000000000000005,4.809191784100469
2354,2016,0.255,0.316,0.297,0.32,0.262,142,557,2246,90.9,7,8,24,604,3.04,142,15,36,143,0.237,0.06,31.8,6.4,3.53,25.166666666666668,0.02300000000000002,3.3223578811500802
2324,2016,0.289,0.337,0.339,0.328,0.269,159,551,2035,89.7,7,7,27,606,5.09,159,15,45,114,0.188,0.074,34.1,6.1,4.13,22.444444444444443,-0.01100000000000001,4.7874777304146585
2311,2016,0.247,0.269,0.326,0.329,0.249,129,522,2032,90.8,8,11,25,573,4.22,129,27,37,119,0.208,0.065,36.7,9,3.49,22.92,0.0030000000000000027,4.385061783836832
2310,2016,0.275,0.309,0.33,0.33,0.27,175,636,2196,89.2,7,6,21,421,4.9,107,19,25,75,0.178,0.059,41,6.7,4.14,20.047619047619047,0,4.853428126144087
2274,2016,0.25,0.306,0.321,0.327,0.234,125,500,2259,89,8,6,25,584,3.85,125,13,62,124,0.212,0.106,31.6,6.2,6.14,23.36,0.006000000000000005,3.8660876173923096
2246,2016,0.24,0.29,0.303,0.295,0.236,134,558,2238,91.1,11,8,25,599,3.32,134,21,34,150,0.25,0.057,38.1,5.1,3.29,23.96,-0.008000000000000007,3.5391649956251525
2153,2016,0.257,0.319,0.299,0.286,0.233,129,502,2141,89.7,9,8,22,547,3.4,129,14,31,129,0.236,0.057,36.1,4.5,6.08,24.863636363636363,-0.013000000000000012,3.502424110620527
2062,2016,0.184,0.256,0.204,0.226,0.196,97,526,2330,88.7,12,4,21,544,1.69,97,8,11,172,0.316,0.02,27.3,4.5,2.31,25.904761904761905,0.02200000000000002,2.257515277912406
1947,2016,0.286,0.319,0.349,0.341,0.273,133,465,2418,90.1,5,11,22,517,5.69,133,18,42,94,0.182,0.081,43.9,6.3,3.43,23.5,-0.007999999999999952,5.461567514308469
1938,2016,0.289,0.349,0.326,0.315,0.272,131,454,2198,92.6,7,10,21,506,3.88,131,7,36,98,0.194,0.071,31.1,3,4.26,24.095238095238095,-0.01100000000000001,3.4160501188349706
1854,2016,0.241,0.279,0.313,0.308,0.232,99,410,2131,91.7,3,7,20,458,4.71,99,16,40,100,0.218,0.087,26,6.3,4.19,22.9,-0.0050000000000000044,4.261976119526874
1819,2016,0.195,0.277,0.241,0.262,0.199,77,395,2629,82.6,9,3,14,311,2.25,55,2,28,90,0.289,0.09,32.3,3.7,3.32,22.214285714285715,0.02100000000000002,2.6072858997646273
1796,2016,0.264,0.34,0.306,0.294,0.246,116,439,2136,85.2,6,9,20,483,4.78,116,10,29,121,0.251,0.06,31.8,3.7,3.54,24.15,-0.01200000000000001,4.1569846381947775
1793,2016,0.272,0.325,0.318,0.285,0.246,119,437,2114,87.3,5,6,19,478,3.54,119,12,28,99,0.207,0.059,26.2,2.9,4.81,25.157894736842106,-0.03300000000000003,3.0615282446873335
1717,2016,0.283,0.315,0.333,0.326,0.271,117,414,2003,89.2,6,8,19,461,4.51,117,11,36,70,0.152,0.078,37.5,4.8,4.94,24.263157894736842,-0.007000000000000006,4.3200928959113485
1708,2016,0.269,0.327,0.309,0.329,0.279,108,402,1962,89.2,7,5,19,447,3.43,108,9,29,93,0.208,0.065,31.7,3.4,5.01,23.526315789473685,0.020000000000000018,3.2694523171662633
1707,2016,0.284,0.305,0.34,0.341,0.272,118,416,2364,89.2,9,7,19,450,4.87,118,14,26,66,0.147,0.058,34,6.5,6.08,23.68421052631579,0.0010000000000000009,4.6641122736393035
1679,2016,0.259,0.327,0.331,0.332,0.252,95,367,2210,88.6,6,2,22,417,5.15,95,11,45,101,0.242,0.108,36.9,6,4.17,18.954545454545453,0.0010000000000000009,4.888528648695359
1579,2016,0.214,0.29,0.276,0.268,0.2,81,378,2454,89.1,7,5,17,416,3.41,81,12,31,132,0.317,0.075,32,6,4.01,24.470588235294116,-0.008000000000000007,3.5582865629078837
1514,2016,0.302,0.359,0.341,0.322,0.265,111,367,2207,91.8,4,10,17,402,4.86,111,8,25,76,0.189,0.062,37,4.3,6.7,23.647058823529413,-0.019000000000000017,4.469497571293193
1190,2016,0.271,0.327,0.326,0.327,0.257,75,277,2301,90.4,4,2,14,302,3.38,75,10,22,71,0.235,0.073,40.2,7.2,5.31,21.571428571428573,0.0010000000000000009,3.7431533898090867
985,2016,0.245,0.319,0.292,0.306,0.24,56,229,1912,87.5,1,4,14,255,3.73,56,5,20,66,0.259,0.078,35.2,4.8,2.72,18.214285714285715,0.014000000000000012,3.741341384480702
3531,2017,0.221,0.272,0.285,0.319,0.241,170,768,2550,91.1,10,8,28,729,3.82,153,23,67,176,0.241,0.092,35.6,7.2,2.52,26.035714285714285,0.03400000000000003,3.993661699360569
3428,2017,0.208,0.303,0.26,0.258,0.197,165,794,2281,88.2,17,8,32,851,2.9,165,24,43,308,0.362,0.051,30.5,6.1,2.11,26.59375,-0.0020000000000000018,3.188747932955637
3406,2017,0.246,0.325,0.306,0.3,0.233,193,784,2325,91.8,10,12,34,852,4.07,193,27,60,249,0.292,0.07,40.3,5.9,4.31,25.058823529411764,-0.006000000000000005,4.172957504897233
3383,2017,0.286,0.324,0.348,0.343,0.272,236,824,2415,86.7,11,17,33,885,4.65,236,38,48,181,0.205,0.054,35.7,8,4.28,26.818181818181817,-0.004999999999999949,4.642399782896707
3364,2017,0.216,0.261,0.281,0.298,0.228,158,731,2232,84.8,15,9,32,827,2.96,158,21,79,188,0.227,0.096,27.9,4.9,4.57,25.84375,0.01699999999999996,3.0899872927594756
3357,2017,0.283,0.337,0.347,0.349,0.272,208,736,2115,91.1,11,12,34,816,4.68,208,29,71,179,0.219,0.087,33.7,8.2,4.43,24,0.0020000000000000018,4.621747461633909
3298,2017,0.254,0.301,0.315,0.322,0.257,199,784,2201,91.9,12,12,33,849,4.26,199,31,55,196,0.231,0.065,34.5,7.6,2.88,25.727272727272727,0.007000000000000006,4.310846435510026
3273,2017,0.255,0.305,0.309,0.308,0.251,204,801,2382,90.2,9,15,32,847,4.42,204,30,32,205,0.242,0.038,33.8,6.3,6.25,26.46875,-0.0010000000000000009,4.32302617674588
3246,2017,0.256,0.295,0.333,0.31,0.231,186,726,2333,84.7,10,9,33,806,4.98,186,31,71,176,0.218,0.088,30.2,7,5.64,24.424242424242426,-0.02300000000000002,4.659592084868466
3216,2017,0.254,0.302,0.313,0.321,0.258,178,701,2164,87.8,13,11,32,776,4.67,178,23,64,166,0.214,0.082,33.2,5.4,4.34,24.25,0.008000000000000007,4.397337895398754
