Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,spin_rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K_percent,BB_percent,hard_hit_percent,barrel_percent,ERA_t1,BFP_per_G,xwOBA_minus_wOBA,luck_adj_ERA
1891,2019,0.241,0.343,0.301,0.27,0.207,96,399,2273,89.5,6,8,23,441,4.29,96,14,40,147,0.333,0.091,32,4.7,3.24,19.17391304347826,-0.030999999999999972,4.0291491620990305
1864,2019,0.265,0.303,0.327,0.333,0.263,115,434,1999,85.5,8,8,19,487,3.75,115,16,39,91,0.187,0.08,38.5,6.9,1.99,25.63157894736842,0.006000000000000005,3.97933244343148
1796,2019,0.261,0.303,0.318,0.327,0.26,111,425,2089,89.2,5,8,21,469,5.09,111,15,27,95,0.203,0.058,36.9,7.4,3.61,22.333333333333332,0.009000000000000008,4.957897217089081
1780,2019,0.296,0.31,0.372,0.366,0.292,126,426,2173,89,3,11,22,473,6.73,126,25,39,79,0.167,0.082,40.1,8.8,4.33,21.5,-0.006000000000000005,6.353387946520849
1689,2019,0.251,0.312,0.325,0.319,0.238,93,370,2448,87.8,4,6,18,409,4.91,93,20,30,118,0.289,0.073,39.4,9.8,4.46,22.72222222222222,-0.006000000000000005,4.989215201822188
1552,2019,0.235,0.281,0.312,0.306,0.223,80,341,2314,89.9,5,6,18,384,4.58,80,14,30,96,0.25,0.078,32.4,7.6,3.99,21.333333333333332,-0.006000000000000005,4.487021294063717
1485,2019,0.23,0.297,0.276,0.284,0.237,84,365,2273,92.7,9,2,16,394,2.63,84,8,23,103,0.261,0.058,34.8,3.8,5.6,24.625,0.007999999999999952,2.891337171038704
1387,2019,0.212,0.284,0.287,0.298,0.22,62,293,2227,88.1,1,3,7,151,2.72,25,3,18,43,0.285,0.119,35.9,5.6,2.75,21.571428571428573,0.01100000000000001,3.1226149577752786
1364,2019,0.271,0.326,0.353,0.329,0.247,78,288,2441,89.7,4,7,14,326,5.79,78,15,35,81,0.248,0.107,37.5,7.7,4.01,23.285714285714285,-0.023999999999999966,5.511764260282018
1325,2019,0.229,0.252,0.298,0.323,0.252,72,315,2193,85.7,7,5,17,349,3.56,72,14,27,71,0.203,0.077,35.6,7.3,5.44,20.529411764705884,0.025000000000000022,3.807882085444478
1233,2019,0.226,0.314,0.308,0.304,0.221,62,274,2516,91.4,3,5,14,313,4.07,62,12,30,105,0.335,0.096,34.1,8.1,2.09,22.357142857142858,-0.0040000000000000036,4.186869698156806
1053,2019,0.227,0.292,0.274,0.316,0.258,55,242,2105,89.5,4,3,12,260,2.94,55,6,14,69,0.265,0.054,41.4,6.3,6.58,21.666666666666668,0.04199999999999998,3.3875956922787647
966,2019,0.223,0.284,0.292,0.271,0.204,48,215,2665,82.7,4,1,13,242,2.45,48,10,18,72,0.298,0.074,27.7,4.7,3.03,18.615384615384617,-0.020999999999999963,2.7519308286533564
903,2019,0.186,0.265,0.222,0.235,0.181,40,215,2445,92.8,6,1,12,230,1.78,40,4,14,76,0.33,0.061,32.1,5.7,4.08,19.166666666666668,0.012999999999999984,2.436137768469461
863,2019,0.216,0.252,0.269,0.282,0.236,44,204,2501,87.5,3,4,10,227,2.34,44,4,16,46,0.203,0.07,32.9,2.4,4.74,22.7,0.012999999999999956,2.4392019269283782
684,2019,0.213,0.259,0.282,0.281,0.217,33,155,2343,88.8,2,1,9,174,3.3,33,5,13,44,0.253,0.075,29.8,4.4,6.34,19.333333333333332,-9.999999999999454e-4,3.2979081169183924
676,2019,0.278,0.333,0.336,0.354,0.298,44,158,2186,88.7,2,3,8,174,5.22,44,5,14,37,0.213,0.08,36.9,5.7,5.47,21.75,0.01799999999999996,4.91236135596397
673,2019,0.303,0.379,0.376,0.328,0.246,44,145,1982,88.9,0,1,8,168,5.5,44,5,18,37,0.22,0.107,43.1,5.5,3.58,21,-0.04799999999999999,5.217823611543622
