player_name,Salary
Zack Greinke,34000000
Patrick Corbin,3950000
Taijuan Walker,2250000
Robbie Ray,570400
Zack Godley,535000
Braden Shipley,535000
R.A. Dickey,7500000
Julio Teheran,6466666
Mike Foltynewicz,544000
Luiz Gohara,535000
Sean Newcomb,535000
Lucas Sims,535000
Jeremy Hellickson,17200000
Ubaldo Jimenez,13500000
Chris Tillman,10050000
Wade Miley,8916668
Kevin Gausman,3550000
Dylan Bundy,1640000
Gabriel Ynoa,535000
David Price,30000000
Rick Porcello,20125000
Chris Sale,12000000
Drew Pomeranz,4450000
Doug Fister,2200000
Steven Wright,593500
Eduardo Rodriguez,584500
James Shields,21000000
Carlos Rodon,600000
Chris Volstad,535000
Dylan Covey,535000
Carson Fulmer,535000
Lucas Giolito,535000
Reynaldo Lopez,535000
Jon Lester,25000000
John Lackey,16000000
Jake Arrieta,15637500
Jose Quintana,7000000
Kyle Hendricks,760500
Homer Bailey,19000000
Scott Feldman,3000000
Anthony DeSclafani,585000
Brandon Finnegan,567000
Tim Adleman,535000
Bronson Arroyo,535000
Luis Castillo,535000
Rookie Davis,535000
Amir Garrett,535000
Tyler Mahle,535000
Deck McGuire,535000
Sal Romano,535000
Robert Stephenson,535000
Corey Kluber,7950000
Carlos Carrasco,6500000
Trevor Bauer,3550000
Danny Salazar,3400000
Josh Tomlin,3000000
Tyler Chatwood,4400000
Chad Bettis,545000
Tyler Anderson,540000
Jon Gray,540000
German Marquez,537000
Jeff Hoffman,535000
Antonio Senzatela,535000
Jordan Zimmermann,18000000
Michael Fulmer,551900
Daniel Norris,545500
Matt Boyd,544200
Justin Verlander,28000000
Dallas Keuchel,9150000
Charlie Morton,8875000
Collin McHugh,3850000
Michael Fiers,3450000
Lance McCullers,548000
Joe Musgrove,543400
Brad Peacock,541500
Ian Kennedy,13500000
Jason Vargas,8000000
Danny Duffy,5000000
Jason Hammel,5000000
Nate Karns,571000
Sam Gaviglio,535000
Jake Junis,535000
Eric Skoglund,535000
Ricky Nolasco,12000000
Garrett Richards,6850000
Matt Shoemaker,3325000
Bud Norris,1750000
Tyler Skaggs,555000
J.C. Ramirez,550000
Andrew Heaney,543000
Nicholas Tropeano,542500
Parker Bridwell,535000
Alex Meyer,535000
Clayton Kershaw,35571428
Scott Kazmir,17666666
Rich Hill,12666666
Brandon McCarthy,11500000
Yu Darvish,11000000
Hyun-Jin Ryu,7833333
Kenta Maeda,7375000
Alex Wood,2800000
Wei-Yin Chen,15500000
Edinson Volquez,9000000
Dan Straily,552100
Adam Conley,537500
Odrisamer Despaigne,535000
Chris O'Grady,535000
Dillon Peters,535000
Jose Urena,535000
Matt Garza,12500000
Chase Anderson,2450000
Jimmy Nelson,547000
Zach Davies,546200
Junior Guerra,546200
Brent Suter,535000
Aaron Wilkerson,535000
Brandon Woodruff,535000
Ervin Santana,13500000
Kyle Gibson,2900000
Jose Berrios,535000
Bartolo Colon,535000
Adalberto Mejia,535000
C.C. Sabathia,25000000
Masahiro Tanaka,22000000
Jaime Garcia,12000000
Michael Pineda,7400000
Sonny Gray,3575000
Luis Severino,550975
Bryan Mitchell,550625
Jordan Montgomery,535000
Caleb Smith,535000
Matt Harvey,5125000
Jacob deGrom,4050000
Zack Wheeler,800000
Noah Syndergaard,605500
Steven Matz,562250
Seth Lugo,543500
Chris Flexen,535000
Kendall Graveman,545000
Sean Manaea,537500
Daniel Mengden,537500
Andrew Triggs,537500
Paul Blackburn,535000
Jharel Cotton,535000
Daniel Gossett,535000
Clay Buchholz,13500000
Henderson Alvarez,750000
Jerad Eickhoff,552000
Vincent Velasquez,547000
Aaron Nola,544000
Zach Eflin,537000
Mark Leiter,535000
Ben Lively,535000
Nick Pivetta,535000
Ivan Nova,8416666
Gerrit Cole,3750000
Jameson Taillon,555500
Chad Kuhl,550000
Trevor Williams,544000
Clayton Richard,2750000
Christian Friedrich,1790000
Jhoulys Chacin,1750000
Colin Rea,545800
Robbie Erlin,545500
Luis Perdomo,544300
Dinelson Lamet,535000
Jordan Lyles,535000
Johnny Cueto,23500000
Jeff Samardzija,19800000
Madison Bumgarner,12200000
Matt Moore,7000000
Ty Blach,536500
Chris Stratton,535000
Felix Hernandez,26857142
Mike Leake,15000000
Hisashi Iwakuma,14000000
Drew Smyly,6850000
Erasmo Ramirez,3125000
James Paxton,2350000
Ariel Miranda,540500
Marco Gonzales,535000
Andrew Moore,535000
Adam Wainwright,19500000
Lance Lynn,8500000
Carlos Martinez,3700000
Michael Wacha,2775000
John Gant,536600
Jack Flaherty,535000
Luke Weaver,535000
Chris Archer,4916666
Alex Cobb,4200000
Jake Odorizzi,4100000
Nathan Eovaldi,2000000
Blake Snell,545000
Jacob Faria,535000
Cole Hamels,22500000
Andrew Cashner,10000000
Miguel Gonzalez,5900000
Martin Perez,4650000
Nick Martinez,540590
Chi Chi Gonzalez,537000
Marco Estrada,14500000
J.A. Happ,13000000
Marcus Stroman,3400000
Brett Anderson,535000
Joseph Biagini,535000
Aaron Sanchez,535000
Cesar Valdez,535000
Max Scherzer,22242857
Stephen Strasburg,18333333
Gio Gonzalez,12000000
Tanner Roark,4315000
Edwin Jackson,1000000
Joe Ross,551000
A.J. Cole,535000
Erick Fedde,535000
