last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Wainwright, Adam,425794,520,10.2,32.1,113.6,88.9,92.5,86.8,436,159,395,197,16.4,39.2,34,6.5,4.6
Sanchez, Anibal,434671,516,14.7,37.8,113.7,87,91.4,82.5,436,185,405,146,11.3,28.3,34,6.6,4.8
Davies, Zach,605200,516,13.8,37.0,113.8,88.7,92.5,86.2,473,180,401,172,14.8,33.3,37,7.2,5.5
Miley, Wade,489119,513,8.2,29.0,114.3,87.5,91.1,85.2,441,152,388,159,12.1,32.5,22,4.3,3.1
Musgrove, Joe,605397,512,11.7,31.4,112,88.9,92.5,86.8,449,172,403,198,14.5,38.7,33,6.4,4.6
Soroka, Mike,647336,510,6.6,32.4,114.3,88.1,91.9,86.3,455,147,406,191,15.5,37.5,26,5.1,3.7
Keller, Brad,641745,508,9.1,32.5,112.5,89.1,93.6,86.7,453,156,405,196,15.9,38.6,30,5.9,4.2
Marquez, German,608566,506,7,34.2,116.3,91.2,93.6,89.4,469,160,407,218,17.0,43.1,40,7.9,5.5
Roark, Tanner,543699,499,15.4,37.3,115.1,89,92.2,86.3,472,185,408,179,13.2,37.3,42,8.4,5.8
Verlander, Justin,434378,498,18.2,30.5,109.8,87.3,91.8,83.3,436,190,390,157,8.8,33.3,36,7.2,4.3
deGrom, Jacob,594798,498,12.7,32.3,111.6,86.5,91.7,82.6,456,168,404,147,8.4,30.8,25,5.0,3.1
Teheran, Julio,527054,494,15.5,31.2,113.5,89,91.7,87.4,451,184,408,175,12.8,35.4,34,6.9,4.5
Boyd, Matthew,571510,491,19.4,32.0,114.9,89.2,91.9,88,449,191,398,169,10.9,35.3,43,8.8,5.5
Bailey, Homer,456701,490,13.8,30.6,114.7,90.3,93,89.3,436,169,393,189,13.8,39.8,28,5.7,4.0
Gibson, Kyle,502043,482,7.1,32.8,113,88.3,92.9,86,465,145,402,182,14.3,37.8,36,7.5,5.1
Happ, J.A.,457918,482,13.7,33.4,112.2,89.2,93.6,86.1,447,175,396,181,14.1,37.6,40,8.3,5.9
Morton, Charlie,450203,481,9.2,34.3,112.1,86.9,90.7,85,431,155,398,158,10.6,32.8,24,5.0,3.0
Flaherty, Jack,656427,479,15.5,33.4,116.3,86.6,91.2,84.2,431,176,399,145,9.5,30.3,33,6.9,4.3
Matz, Steven,571927,479,10.3,31.5,113.6,88.9,92.5,86.9,482,163,408,185,14.8,38.6,41,8.6,5.9
Buehler, Walker,621111,478,12.5,34.5,111.3,89.3,92.5,86.5,458,180,397,174,12.3,36.4,26,5.4,3.5
Sparkman, Glenn,642098,478,14.2,39.3,113.6,90.8,94.1,88.1,471,196,405,200,18.4,41.8,37,7.7,6.1
DeSclafani, Anthony,543101,476,12.3,33.2,113.3,89.1,93.1,86.5,474,173,403,179,14.0,38.7,34,7.1,4.9
Fried, Max,608331,476,4.3,32.4,114,89.2,91.8,87.6,451,146,391,186,14.9,39.1,21,4.4,3.0
Bundy, Dylan,605164,474,14,31.9,113.4,88.2,92.7,84.8,452,173,394,151,11.1,31.9,28,5.9,4.0
Means, John,607644,472,20,36.9,115.3,87.5,90.9,83.6,446,200,403,145,11.3,30.7,32,6.8,5.0
Williams, Trevor,592866,472,17.2,35.6,114.1,88,92.5,85.2,441,190,398,168,14.5,35.6,39,8.3,6.1
Kershaw, Clayton,477132,472,11.6,31.1,112.5,88.7,93.1,86.7,442,163,406,154,11.4,34.1,32,6.8,4.5
Lucchesi, Joey,664192,470,11.4,30.6,113,88.3,92.2,86.2,436,163,400,171,14.4,36.4,34,7.2,5.0
Castillo, Luis,622491,469,5.9,27.1,112.8,87.3,92,84.7,442,137,403,154,10.5,33.6,24,5.1,3.1
Cashner, Andrew,488768,466,10.3,31.8,120.6,89.7,94.4,86.4,441,170,407,191,16.8,41.0,36,7.7,5.7
Thornton, Trent,663423,462,16.8,38.7,115.4,88.2,93,83,474,190,400,171,14.0,37.0,34,7.4,5.0
Lauer, Eric,641778,457,14.1,32.4,112.6,89.8,93.8,87.1,436,178,397,180,15.2,39.4,27,5.9,4.1
Vargas, Jason,450306,456,16.7,33.1,111.3,87.6,92.3,84,440,184,401,154,14.3,33.8,36,7.9,5.5
Senzatela, Antonio,622608,445,4.9,31.2,114.1,90.1,93.5,88.5,466,146,408,196,19.6,44.0,27,6.1,4.6
Norris, Daniel,596057,443,11.7,30.9,112.6,90.9,94,88.4,437,175,406,192,17.3,43.3,39,8.8,6.4
Cole, Gerrit,543037,440,14,33.2,115.2,87.6,92.1,83.7,443,176,394,156,9.3,35.5,26,5.9,3.2
Darvish, Yu,506433,435,12.6,32.6,115.5,88.6,93.5,85,459,173,405,163,12.0,37.5,32,7.4,4.4
Turnbull, Spencer,605513,435,9.6,33.8,114.4,89.6,93.6,86.9,444,166,386,177,14.2,40.7,29,6.7,4.4
Gray, Sonny,543243,428,9,31.3,115.1,88.1,92,86.1,425,151,409,137,11.3,33.3,29,6.8,4.1
Gray, Jon,592351,427,8.4,31.6,116.2,89.9,92.9,88.7,470,151,407,187,16.7,43.8,25,5.9,3.9
Pineda, Michael,501381,427,16.5,36.1,112.2,89.6,92.9,86.1,454,195,391,154,13.0,37.4,31,7.3,5.2
Arrieta, Jake,453562,426,6.8,33.8,114,89.3,93.9,86.5,445,151,402,160,16.8,37.6,29,6.8,4.9
Odorizzi, Jake,543606,423,18.1,37.1,114.4,89.2,92.6,86.9,462,188,397,153,11.2,36.2,33,7.8,5.0
Ray, Robbie,592662,422,14.7,38.6,114.3,88.9,93.2,85,446,190,409,163,11.9,38.6,45,10.7,6.0
Jurado, Ariel,642558,420,9.4,34.5,115.8,90,93.8,87.3,447,168,405,181,19.3,43.1,42,10.0,7.8
Sampson, Adrian,592716,417,15.4,33.8,113.6,91,93.7,90.4,453,188,405,197,19.5,47.2,42,10.1,7.5
Giolito, Lucas,608337,416,17.7,37.3,117,88.1,92.8,85,459,182,408,144,10.4,34.6,39,9.4,5.5
Yarbrough, Ryan,642232,416,15.1,35.1,112.1,84.8,89.1,82.9,427,168,401,109,10.7,26.2,29,7.0,5.2
Smith, Caleb,592761,412,23.3,35.2,113.1,88.6,92.5,83.9,485,213,403,148,11.3,35.9,45,10.9,7.0
Bassitt, Chris,605135,411,15.1,32.8,111.7,87.8,92.1,86.3,454,175,401,128,11.3,31.7,21,5.1,3.4
Sanchez, Aaron,592717,410,8.9,29.5,114.1,89.8,94.7,86.5,476,160,400,173,16.9,42.2,31,7.6,5.1
Anderson, Chase,502624,410,19.8,32.7,114.3,87.3,91.1,85,457,186,406,129,10.9,32.9,27,6.6,4.6
Scherzer, Max,453286,409,13.5,35.2,111.7,87.6,92,83.8,445,177,398,145,10.0,35.5,27,6.6,3.9
Hamels, Cole,430935,409,11.3,30.8,118.3,90.3,94.5,87.2,454,166,410,169,15.1,41.3,31,7.6,5.0
LeBlanc, Wade,453281,408,13.9,38.5,112.6,89.4,93.3,86.2,447,184,397,159,17.3,39.0,32,7.8,6.0
Maeda, Kenta,628317,400,15.4,35.3,112,86.1,90.5,82.4,457,175,400,115,9.8,28.8,22,5.5,3.5
Wacha, Michael,608379,400,9.7,35.5,113.7,88.3,93.1,85,463,162,410,142,13.6,35.5,31,7.8,5.5
Lyles, Jordan,543475,397,14.8,31.5,112.7,89.9,93.5,87.6,438,186,401,159,13.7,41.3,33,8.3,5.5
German, Domingo,593334,397,15.2,37.8,118.3,89.4,93.9,85.4,441,187,395,159,14.4,40.1,35,8.8,5.9
Richards, Trevor,670950,392,17.7,34.4,112.2,88.5,92.3,85.4,423,188,391,136,12.2,34.7,25,6.4,4.3
Zimmermann, Jordan,519455,391,12.6,37.9,115.6,90.2,94.2,87.2,458,180,394,150,17.3,38.4,37,9.5,7.3
Paxton, James,572020,390,17.6,35.1,113.4,89.2,91.8,89.4,433,185,393,150,11.3,38.5,29,7.4,4.6
Lopez, Jorge,605347,387,10.2,34.1,115.6,90.4,94.5,87.1,450,172,405,156,17.0,40.6,46,11.9,8.4
Mahle, Tyler,641816,387,9.1,33.9,111.7,89.3,92.9,86.8,442,164,398,140,13.8,37.6,32,8.3,5.8
Duffy, Danny,518633,386,16.4,33.4,113.1,89.3,92.8,87.1,478,188,417,146,14.2,37.8,29,7.5,5.2
Chirinos, Yonny,630023,385,11.3,34.5,111,88.1,92.5,84.9,447,174,403,130,13.3,33.8,34,8.8,6.4
Ynoa, Gabriel,593679,384,11.1,30.7,112,90,93.6,87.5,461,173,399,157,17.3,40.9,39,10.2,8.1
Paddack, Chris,663978,378,15.5,33.1,113,87.8,92,84.7,439,178,401,123,10.4,32.5,27,7.1,4.8
Beede, Tyler,595881,359,11.5,33.7,114.8,91.3,94.6,89,433,179,406,159,17.1,44.3,30,8.4,5.7
Brooks, Aaron,605156,356,12.2,32.3,111.5,89.7,93.2,88.1,474,175,405,148,17.0,41.6,28,7.9,5.8
Plutko, Adam,592644,354,19.9,37.0,116,88.1,92.3,84.6,467,198,397,116,13.1,32.8,27,7.6,5.8
Freeland, Kyle,607536,353,10,34.0,116.3,89.5,93,87.2,451,168,406,141,16.5,40.1,31,8.8,6.6
Keuchel, Dallas,572971,348,2.9,26.1,111,88.8,94.5,86.7,447,131,406,134,16.1,38.5,24,6.9,4.9
Foltynewicz, Mike,592314,347,15,30.8,112.6,89.1,92.8,86.5,429,186,394,138,15.0,39.8,27,7.8,5.5
Plesac, Zach,668676,344,14.4,36.3,114.3,89.6,92.7,87.3,442,186,398,133,14.9,38.7,28,8.1,5.9
Brault, Steven,643230,344,10.2,33.7,112.2,90.5,93.2,89.1,460,174,408,133,14.7,38.7,21,6.1,4.2
Sale, Chris,519242,344,12.9,34.9,111.4,88.5,92.9,85.3,448,176,390,125,10.7,36.3,28,8.1,4.6
Strahm, Matt,621381,340,15.9,35.6,112.6,89,93.4,85.1,447,188,402,136,15.1,40.0,33,9.7,6.8
Smyly, Drew,592767,337,17.8,35.9,114.2,89,92.9,85.1,436,206,399,130,13.8,38.6,33,9.8,6.4
Lopez, Pablo,641154,336,10,32.1,114.2,88.2,91.5,86.9,420,155,395,124,14.3,36.9,25,7.4,5.3
Milone, Tommy,543548,334,16.5,39.5,114.8,87.3,92.5,81.4,458,198,403,100,12.2,31.3,33,9.9,7.3
Velasquez, Vince,592826,333,17.7,33.6,114.5,90.8,94.1,88.8,459,200,391,134,12.9,40.2,34,10.2,6.6
Rodriguez, Dereck,605446,330,13,34.5,111,89.5,92.7,87.9,437,171,395,119,15.8,36.2,23,7.0,5.2
Cahill, Trevor,502239,329,9.1,27.4,115.1,88.8,93.4,86.2,438,164,398,118,14.7,37.5,23,7.0,5.1
Beeks, Jalen,656222,326,10.1,35.0,114.7,88.5,93,85.3,443,164,408,117,14.1,35.9,24,7.4,5.2
Archer, Chris,502042,324,14.4,40.7,112.1,89.4,92.8,86.3,436,188,401,128,13.4,39.5,34,10.5,6.5
Quantrill, Cal,615698,323,11.9,33.7,111.9,87.9,90.8,85.3,433,168,401,105,12.2,32.5,23,7.1,5.2
Lambert, Peter,663567,321,7.4,36.8,113.1,89.8,94,86.7,472,167,406,127,18.0,39.6,20,6.2,4.8
Sabathia, CC,282332,318,14.9,36.5,114.3,87,90.3,84.6,432,182,387,97,11.9,30.5,26,8.2,5.6
Chacin, Jhoulys,468504,318,16.8,35.2,112.1,89.5,94.3,86.5,463,188,403,135,16.4,42.5,25,7.9,5.3
Anderson, Shaun,641312,317,12.1,39.7,112.8,88.5,91.8,86.5,454,170,408,118,15.4,37.3,23,7.3,5.4
Woodruff, Brandon,605540,315,12.4,37.5,113.3,86.1,90.3,83.3,448,165,410,95,9.4,30.2,13,4.1,2.6
Houser, Adrian,605288,303,5.3,30.0,110.4,86.7,92.5,84,448,145,398,107,13.4,35.3,15,5.0,3.2
Gausman, Kevin,592332,300,13.8,40.3,113.9,88.7,92.1,85.3,432,180,397,108,12.3,36.5,24,8.0,5.3
Price, David,456034,295,12.6,36.9,113.2,88.4,93.3,84.1,453,180,405,113,12.8,38.3,24,8.1,5.2
Montgomery, Mike,543557,294,7,35.0,112.6,90.3,94.4,86.8,486,173,407,131,18.5,44.7,24,8.2,6.0
Clevinger, Mike,605182,291,13.1,37.1,113.5,86.4,92.3,80.9,442,175,401,99,10.4,34.0,17,5.8,3.4
Godley, Zack,643327,289,11.6,37.0,113.8,89.5,93.4,86.9,469,172,410,103,14.5,35.6,24,8.3,5.9
Pivetta, Nick,601713,289,11.2,35.6,113.2,89.7,92.3,87.8,439,173,387,101,13.7,34.9,29,10.0,6.9
Urena, Jose,570632,279,9.1,33.3,113,90.7,93.9,89,446,157,390,108,16.3,38.7,22,7.9,6.0
Gaviglio, Sam,543208,278,10.2,25.9,113.8,88.3,93.9,84.9,456,164,399,98,15.3,35.3,18,6.5,4.6
Pomeranz, Drew,519141,270,14.3,35.9,111,89.6,93,87.1,449,183,400,96,10.8,35.8,24,8.9,5.3
Pena, Felix,570240,266,13.3,33.8,112.1,89,93.3,86.2,429,171,399,100,14.2,37.6,18,6.8,4.4
Clarke, Taylor,664199,265,16,30.9,114.3,89.3,94.4,85.6,458,188,406,105,14.4,39.8,32,12.1,8.7
Hess, David,605276,265,18.2,43.0,115.4,92.3,96,88.6,443,207,398,132,18.9,49.8,35,13.2,9.6
Montas, Frankie,593423,264,9.9,32.6,111.4,87,93.5,83.3,440,149,399,92,12.6,34.8,10,3.8,2.5
Tomlin, Josh,458708,262,17.8,32.8,111.9,89.1,92.1,86.4,424,193,398,88,15.2,33.6,17,6.5,5.3
Barria, Jaime,642545,261,18.6,41.0,112.9,89.9,93.3,86.3,441,208,401,106,16.0,40.6,28,10.7,7.7
Suarez, Jose,660761,260,16.3,35.8,116.2,88.8,93,85.9,451,189,395,97,14.3,37.3,23,8.8,6.1
Fedde, Erick,607200,258,7.2,34.1,112,89.2,92.6,87.3,438,152,398,103,18.6,39.9,19,7.4,5.7
Stripling, Ross,548389,255,10.5,24.3,117.4,89.2,93.7,87.4,415,155,401,98,14.8,38.4,17,6.7,4.6
Heaney, Andrew,571760,254,18.5,35.4,110.9,90.4,92.8,89.3,450,207,405,100,12.2,39.4,25,9.8,6.1
Snell, Blake,605483,253,15,31.2,111.5,88.3,91.7,85.9,436,175,389,81,8.8,32.0,12,4.7,2.7
Agrazal, Dario,642607,252,14.8,34.9,112.1,87.3,92.3,84.1,459,178,399,75,14.3,29.8,17,6.7,5.3
Gonzalez, Gio,461829,251,9.9,34.3,112.7,87.4,92.5,82.9,449,161,403,74,11.2,31.2,17,6.8,4.6
Peacock, Brad,502748,251,14.3,30.7,115.5,90.1,93.1,88.2,481,186,408,104,16.0,41.4,20,8.0,5.2
Canning, Griffin,656288,250,17.4,31.6,110.6,87.9,91.9,84.7,439,190,405,81,11.5,32.4,19,7.6,4.9
Jackson, Edwin,429719,249,11.9,40.2,115.7,91.1,95.4,87.5,450,189,392,108,17.9,43.4,30,12.0,8.9
Stammen, Craig,489334,249,5.5,31.3,112.4,87,91.4,83.4,436,158,394,84,14.8,33.7,13,5.2,3.8
Young, Alex,622065,247,10.2,27.9,109.1,87.8,91.7,85.4,429,158,407,88,14.0,35.6,18,7.3,5.2
Holland, Derek,502706,245,14.3,31.0,113.9,91,94.5,88,467,184,412,102,15.1,42.1,30,12.2,8.0
Wojciechowski, Asher,592879,244,21.4,34.4,111.3,88.1,92.7,83.5,443,212,397,89,12.5,36.5,26,10.7,7.2
Stratton, Chris,608717,242,11.8,32.2,111.9,88.4,92.7,85.5,441,175,402,77,11.8,34.7,12,5.0,3.5
Peters, Dillon,596071,241,13.6,39.4,114.4,89.4,93.9,84.7,444,190,396,99,16.6,41.1,21,8.7,6.4
Detwiler, Ross,446321,239,10.4,30.1,113.7,90.4,94.8,87.8,496,169,406,97,17.9,40.6,23,9.6,7.3
Ramirez, Nick,598286,238,11.5,31.9,112.8,86.8,92.1,83.8,436,162,404,71,11.5,29.8,18,7.6,5.2
Chavez, Jesse,445926,238,13.2,34.5,114.5,88.1,93.4,84,433,174,408,82,14.6,34.5,21,8.8,6.2
Waguespack, Jacob,621097,238,14.8,35.7,114.9,89.1,93,87.2,436,179,407,91,14.0,38.2,17,7.1,5.1
Hernandez, Felix,433587,237,11,31.2,112.7,91.9,95.5,90,450,170,397,99,18.9,41.8,24,10.1,7.4
Cessa, Luis,570666,234,10.7,30.3,109.1,88.3,91.4,86.4,425,160,383,82,12.9,36.9,12,5.1,3.5
Hernandez, Elieser,622694,233,21.4,30.5,110,86.9,92.6,81.5,424,194,392,74,10.6,31.8,21,9.0,5.9
Font, Wilmer,521655,229,17.6,32.3,110.7,89.1,93.9,84.7,420,190,391,86,11.5,38.4,22,9.6,6.2
Peralta, Freddy,642547,228,18.7,36.8,109.7,90.1,94.5,87.3,462,192,398,88,11.2,38.6,22,9.6,5.8
Lorenzen, Michael,547179,228,11.7,32.5,108,85.5,89.3,82.9,426,166,383,66,10.2,29.7,7,3.1,2.0
Skaggs, Tyler,572140,227,15.6,37.0,113.6,88.6,92,86.9,472,185,416,77,12.0,33.9,14,6.2,4.2
Petit, Yusmeiro,433589,227,21.4,31.7,111.2,87.8,92.8,81.5,430,194,395,78,13.8,34.8,17,7.5,5.5
Carrasco, Carlos,471911,227,13.3,35.7,111.6,91.5,95.9,87.8,427,184,398,104,15.8,45.8,29,12.8,8.5
Guerra, Junior,448855,227,14.4,30.8,113.2,86.8,92.5,83.9,445,169,401,64,9.9,29.4,14,6.2,4.1
Chen, Wei-Yin,612672,221,14.4,40.3,111.9,89.4,92.9,87,454,194,395,90,15.5,40.7,19,8.6,6.2
Perdomo, Luis,606131,221,5.5,27.6,109.8,90.3,93.4,88,455,149,410,94,18.7,42.5,9,4.1,3.0
Bettis, Chad,518452,219,2.6,26.5,115.6,90,95.9,88.1,425,124,396,91,19.0,41.6,12,5.5,4.2
Shaw, Bryan,543766,219,7.3,32.0,110.4,90.5,92.5,89.5,456,162,401,89,16.3,40.6,15,6.8,4.8
Pannone, Thomas,623381,219,18.6,37.4,110.5,89.5,93.1,86.7,444,201,401,85,14.5,38.8,21,9.6,6.5
Walden, Marcus,519393,214,7.6,29.4,112.3,89.3,91.9,89.5,435,147,419,74,12.1,35.6,6,2.8,1.8
Valdez, Framber,664285,213,-1.3,24.9,112.8,89.5,95.6,87,423,122,396,86,16.9,40.4,11,5.2,3.3
Guerra, Javy,457915,212,17.7,34.4,114.1,89.4,93,87.4,440,195,401,80,14.0,37.7,17,8.0,5.9
Urias, Julio,628711,209,17.6,34.4,113.2,84.1,89.1,82,412,166,397,52,7.6,24.9,9,4.3,2.8
Hoffman, Jeff,656546,209,15.7,33.0,113.2,90.4,95.2,85.1,474,198,414,86,14.8,41.1,27,12.9,8.6
Covey, Dylan,592229,208,11.2,38.5,115.5,89.9,93.2,87.3,437,171,394,77,16.7,37.0,20,9.6,7.2
Chatwood, Tyler,543022,208,4.7,36.1,117,87.7,90.2,87.6,418,140,390,74,13.6,35.6,6,2.9,1.9
Cease, Dylan,656302,208,12.1,32.7,111.3,87.9,92.5,84.6,453,167,398,78,12.9,37.5,16,7.7,4.9
McCarthy, Kevin,641838,207,3.6,24.2,111,89.9,93.4,88.3,452,137,413,84,18.1,41.6,9,4.3,3.4
Castro, Miguel,612434,207,9.4,27.1,112.3,87.1,92.3,84.3,449,151,394,68,12.5,32.9,13,6.3,4.1
Hughes, Jared,453172,206,1.3,25.2,111.4,89.7,94.5,87.1,427,134,388,70,13.0,34.8,14,6.8,4.8
Estevez, Carlos,608032,203,15.5,34.5,113.5,90.4,92,89.9,464,192,412,78,12.7,38.4,20,9.9,6.5
Devenski, Chris,606965,202,19.7,34.7,113.8,88.7,93.1,85.3,447,205,387,71,12.7,35.1,17,8.4,5.7
Yamamoto, Jordan,657141,202,17.2,30.7,112.3,89.9,93.3,89.3,445,185,389,78,12.7,38.8,13,6.4,4.0
Hudson, Daniel,543339,202,15.7,32.2,111.8,89.3,94,86.1,427,190,408,83,13.8,41.1,18,8.9,5.9
Ross, Joe,605452,201,10.1,36.8,110,87.5,92.5,83.8,435,171,408,72,13.5,35.8,14,7.0,4.7
McHugh, Collin,543521,201,15.1,37.8,113.1,88,91.8,85,465,184,403,61,10.8,30.3,14,7.0,4.4
Andriese, Matt,542882,200,7.6,33.5,113,89.1,92.6,87.2,459,157,402,67,11.8,33.5,13,6.5,4.2
Cortes, Nestor,641482,200,18.3,36.5,114.1,87.8,91.2,84.7,440,200,396,66,11.2,34.9,16,8.0,5.4
Liriano, Francisco,434538,200,9.5,28.5,110.1,85.8,91,82.2,454,147,398,58,10.8,29.0,10,5.0,3.3
Margevicius, Nick,676606,199,10.3,35.7,110.7,88.5,92.2,85.8,464,169,404,69,15.8,34.7,14,7.0,5.3
Stanek, Ryne,592773,199,18,38.2,116.3,90.3,94.2,85.4,442,205,411,76,12.2,38.2,19,9.5,5.8
Martin, Brett,656685,198,6.3,29.3,111.2,89.8,93.3,88.8,429,141,404,80,15.3,40.4,11,5.6,3.9
Gonzalez, Chi Chi,592346,198,12,34.3,111.1,88.2,92.4,84.7,441,168,409,74,14.9,37.4,11,5.6,4.0
Soto, Gregory,642397,198,8.4,30.8,115.1,91.1,93.2,89.6,441,164,390,87,17.1,43.9,20,10.1,7.2
Gallen, Zac,668678,198,13.6,32.8,112.6,87,93.3,80.6,456,182,397,71,11.1,35.9,11,5.6,3.3
Buchholz, Clay,453329,197,10.7,35.5,112.4,86.8,94,80.8,427,173,402,72,15.9,36.5,26,13.2,10.2
Buttrey, Ty,621142,197,13.6,35.0,109.6,90,91.8,89.8,446,166,409,80,14.1,41.2,11,5.6,3.6
Conley, Adam,543045,197,16.1,32.0,110.2,88.6,92.6,85.8,455,176,411,74,13.8,37.6,13,6.6,4.6
Osich, Josh,592612,196,9.8,33.7,111.1,88.3,92.6,83.4,447,176,401,71,13.9,36.2,15,7.7,5.5
Newcomb, Sean,656794,196,11.6,28.6,112.2,87.3,90.9,85.1,442,162,411,60,11.2,30.6,9,4.6,3.1
Melancon, Mark,453343,196,3,28.1,110.8,88.6,90.9,88,419,117,403,69,14.3,35.2,4,2.0,1.4
Rodriguez, Richard,593144,196,16.8,25.5,110.5,89.8,94.5,88.9,435,175,393,76,13.5,39.2,15,7.7,5.3
Harvey, Matt,518774,195,12.5,31.8,113.2,90.7,94.2,88.4,467,173,410,75,16.8,42.1,15,7.7,5.6
Eovaldi, Nathan,543135,194,11.3,32.0,115.2,90.8,92.1,90.6,438,166,384,79,14.2,40.7,17,8.8,5.6
McFarland, T.J.,519008,194,0,29.9,114.3,88.4,94.3,85,458,126,427,77,17.4,40.1,12,6.2,4.8
Biagini, Joe,607352,194,9.3,38.7,116.3,88.4,92.6,84.8,448,168,402,65,12.4,33.5,17,8.8,6.0
Bleier, Richard,542947,193,1.9,28.5,110,89,93.2,87.7,427,122,400,74,18.8,38.3,6,3.1,2.6
