last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Leake, Mike,502190,671,11.6,31.6,114.4,90.7,94,89,463,174,404,287,19.2,42.9,59,8.8,7.1
Gonzales, Marco,594835,657,14.7,31.5,112.9,88.3,93.1,85.3,447,172,395,224,14.6,35.2,32,4.9,3.7
Nova, Ivan,467100,635,10.7,34.5,118.9,88.8,93.3,85.6,440,160,396,244,16.7,38.4,46,7.2,5.7
Anderson, Brett,474463,600,5,30.5,115.1,89.6,94.6,86.9,486,142,419,240,19.2,40.0,44,7.3,5.9
Alcantara, Sandy,645261,598,11.8,29.9,111.7,87.3,92.3,83.8,444,164,404,205,13.6,34.3,39,6.5,4.7
Greinke, Zack,425844,589,11,34.1,114,87.5,91.7,84.8,432,164,398,196,13.5,33.3,37,6.3,4.6
Minor, Mike,501985,588,16.5,31.3,113.1,86.9,90.2,85.2,450,173,401,179,11.2,30.4,41,7.0,4.8
Berrios, Jose,621244,587,13.9,34.1,115.2,87,91.2,84,441,172,404,188,12.3,32.0,38,6.5,4.5
Bumgarner, Madison,518516,587,18.3,35.6,113.2,90.4,93,88.8,473,192,404,245,15.0,41.8,53,9.0,6.3
Wheeler, Zack,554430,580,12.3,34.5,117.6,87,90.4,84.7,447,167,404,188,11.8,32.4,31,5.3,3.7
Mikolas, Miles,571945,576,10.3,33.0,112.9,88.5,92.3,86.1,429,163,398,204,14.6,36.6,35,6.1,4.6
Porcello, Rick,519144,573,15.6,33.9,116.1,88.4,93.5,83.9,452,182,397,213,14.7,37.6,54,9.4,7.0
Tanaka, Masahiro,547888,568,11,32.4,113,89,93.1,86.9,455,160,404,212,15.1,37.7,34,6.0,4.5
Lopez, Reynaldo,625643,567,17.8,36.3,114.2,88.8,92.7,85.8,505,191,402,217,14.1,38.3,43,7.6,5.3
Syndergaard, Noah,592789,567,9.9,29.6,111,86.8,90.3,85,447,153,402,177,11.4,31.2,28,4.9,3.4
Fiers, Mike,571666,566,15.8,31.6,111.3,88.1,93.3,84.2,458,176,401,212,15.5,38.3,41,7.2,5.4
Rodriguez, Eduardo,593958,564,9.3,30.9,111.9,86.3,91,83.2,455,160,403,163,10.0,29.7,33,5.9,3.8
Lynn, Lance,458681,562,13.9,35.1,113.5,87.9,91.3,85.7,454,178,407,185,10.7,33.8,33,5.9,3.8
Kelly, Merrill,518876,558,12.4,33.0,112.7,89.9,93.5,87,443,177,405,223,16.1,40.0,53,9.5,6.8
Bauer, Trevor,545333,557,16.4,33.6,111.9,88.7,92.4,86.4,451,182,396,210,12.6,37.7,48,8.6,5.3
Stroman, Marcus,573186,555,5.6,27.4,113.9,88.2,92.7,85.8,426,139,384,197,14.5,35.6,23,4.1,3.0
Bieber, Shane,669456,554,12.3,33.8,113.5,90.5,93.9,88.4,447,172,391,231,14.5,43.3,48,8.7,5.6
Kikuchi, Yusei,579328,549,12.3,32.1,115.1,89.2,93.3,87.2,462,169,398,209,16.2,39.1,42,7.7,5.8
Samardzija, Jeff,502188,545,16.9,34.7,117.9,89.5,93.6,85.7,440,193,403,205,14.2,37.7,46,8.4,6.2
Quintana, Jose,500779,544,11.1,34.6,114.2,90,92.9,88.6,468,173,402,199,16.0,37.9,31,5.7,4.2
Lester, Jon,452657,542,12.2,37.1,112.2,88.6,91.9,86.4,457,176,408,188,13.6,34.7,40,7.4,5.2
Hendricks, Kyle,543294,538,14,33.8,112.5,86.5,90.7,83.5,438,175,398,169,12.8,31.5,29,5.4,4.0
Junis, Jakob,596001,537,12.7,35.4,112.8,90.1,92.6,88.6,473,177,408,221,16.7,41.2,46,8.6,6.0
Perez, Martin,527048,532,9.5,33.5,113.8,86.2,91.5,82.3,444,154,385,158,11.7,29.7,28,5.3,3.8
Ryu, Hyun Jin,547943,532,7.2,32.5,115.3,86.6,90.6,84,438,147,403,164,12.3,30.8,25,4.7,3.5
Nola, Aaron,605400,532,9.2,32.9,113.3,89.2,93.9,86.3,445,160,399,210,14.2,39.5,36,6.8,4.2
Hudson, Dakota,641712,526,3.3,31.0,114.6,89.3,94.6,86.7,448,138,406,204,16.4,38.8,36,6.8,4.8
Corbin, Patrick,571578,524,8.4,31.7,115,89.9,95,86,462,166,420,203,13.1,38.7,49,9.4,5.9
Strasburg, Stephen,544931,524,7.8,29.8,113.4,87.9,92.2,85.4,458,150,400,177,11.1,33.8,32,6.1,3.8
Eflin, Zach,621107,522,12,30.1,112.1,88.2,92.4,84.9,447,168,401,171,14.0,32.8,36,6.9,5.1
