name,salary,year
Zack Greinke,34000000,2017
Patrick Corbin,3950000,2017
Taijuan Walker,2250000,2017
Robbie Ray,570400,2017
Zack Godley,535000,2017
Braden Shipley,535000,2017
R.A. Dickey,7500000,2017
Julio Teheran,6466666,2017
Mike Foltynewicz,544000,2017
Luiz Gohara,535000,2017
Sean Newcomb,535000,2017
Lucas Sims,535000,2017
Jeremy Hellickson,17200000,2017
Ubaldo Jimenez,13500000,2017
Chris Tillman,10050000,2017
Wade Miley,8916668,2017
Kevin Gausman,3550000,2017
Dylan Bundy,1640000,2017
Gabriel Ynoa,535000,2017
David Price,30000000,2017
Rick Porcello,20125000,2017
Chris Sale,12000000,2017
Drew Pomeranz,4450000,2017
Doug Fister,2200000,2017
Steven Wright,593500,2017
Eduardo Rodriguez,584500,2017
James Shields,21000000,2017
Carlos Rodon,600000,2017
Chris Volstad,535000,2017
Dylan Covey,535000,2017
Carson Fulmer,535000,2017
Lucas Giolito,535000,2017
Reynaldo Lopez,535000,2017
Jon Lester,25000000,2017
John Lackey,16000000,2017
Jake Arrieta,15637500,2017
Jose Quintana,7000000,2017
Kyle Hendricks,760500,2017
Homer Bailey,19000000,2017
Scott Feldman,3000000,2017
Anthony DeSclafani,585000,2017
Brandon Finnegan,567000,2017
Tim Adleman,535000,2017
Bronson Arroyo,535000,2017
Luis Castillo,535000,2017
Rookie Davis,535000,2017
Amir Garrett,535000,2017
Tyler Mahle,535000,2017
Deck McGuire,535000,2017
Sal Romano,535000,2017
Robert Stephenson,535000,2017
Corey Kluber,7950000,2017
Carlos Carrasco,6500000,2017
Trevor Bauer,3550000,2017
Danny Salazar,3400000,2017
Josh Tomlin,3000000,2017
Tyler Chatwood,4400000,2017
Chad Bettis,545000,2017
Tyler Anderson,540000,2017
Jon Gray,540000,2017
German Marquez,537000,2017
Jeff Hoffman,535000,2017
Antonio Senzatela,535000,2017
Jordan Zimmermann,18000000,2017
Michael Fulmer,551900,2017
Daniel Norris,545500,2017
Matt Boyd,544200,2017
Justin Verlander,28000000,2017
Dallas Keuchel,9150000,2017
Charlie Morton,8875000,2017
Collin McHugh,3850000,2017
Michael Fiers,3450000,2017
Lance McCullers,548000,2017
Joe Musgrove,543400,2017
Brad Peacock,541500,2017
Ian Kennedy,13500000,2017
Jason Vargas,8000000,2017
Danny Duffy,5000000,2017
Jason Hammel,5000000,2017
Nate Karns,571000,2017
Sam Gaviglio,535000,2017
Jake Junis,535000,2017
Eric Skoglund,535000,2017
Ricky Nolasco,12000000,2017
Garrett Richards,6850000,2017
Matt Shoemaker,3325000,2017
Bud Norris,1750000,2017
Tyler Skaggs,555000,2017
J.C. Ramirez,550000,2017
Andrew Heaney,543000,2017
Nicholas Tropeano,542500,2017
Parker Bridwell,535000,2017
Alex Meyer,535000,2017
Clayton Kershaw,35571428,2017
Scott Kazmir,17666666,2017
Rich Hill,12666666,2017
Brandon McCarthy,11500000,2017
Yu Darvish,11000000,2017
Hyun-Jin Ryu,7833333,2017
Kenta Maeda,7375000,2017
Alex Wood,2800000,2017
Wei-Yin Chen,15500000,2017
Edinson Volquez,9000000,2017
Dan Straily,552100,2017
Adam Conley,537500,2017
Odrisamer Despaigne,535000,2017
Chris O'Grady,535000,2017
Dillon Peters,535000,2017
Jose Urena,535000,2017
Matt Garza,12500000,2017
Chase Anderson,2450000,2017
Jimmy Nelson,547000,2017
Zach Davies,546200,2017
Junior Guerra,546200,2017
Brent Suter,535000,2017
