name,salary,year
Mike Leake,15000000,2020
Madison Bumgarner,6000000,2020
Merrill Kelly,3000000,2020
Luke Weaver,597000,2020
Caleb Smith,586500,2020
Zac Gallen,575000,2020
Alex Young,575000,2020
Corbin Martin,565700,2020
Jeremy Beasley,563500,2020
Cole Hamels,18000000,2020
Felix Hernandez,1000000,2020
Tom Milone,1000000,2020
Max Fried,583500,2020
Michael Soroka,583500,2020
Kyle Wright,573500,2020
Ian Anderson,563500,2020
Alex Cobb,14000000,2020
Wade LeBlanc,800000,2020
Jorge Lopez,586750,2020
John Means,580000,2020
Keegan Akin,563500,2020
Bruce Zimmerman,563500,2020
Chris Sale,30000000,2020
Nathan Eovaldi,17000000,2020
Eduardo Rodriguez,8300000,2020
Martin Perez,5700000,2020
Zack Godley,1500000,2020
Tanner Houck,563500,2020
Mike Kickham,563500,2020
Dallas Keuchel,18000000,2020
Carlos Rodon,4450000,2020
Lucas Giolito,627000,2020
Reynaldo Lopez,605000,2020
Dylan Cease,575000,2020
Dane Dunning,563500,2020
Yu Darvish,22000000,2020
Jon Lester,20000000,2020
Tyler Chatwood,13000000,2020
Kyle Hendricks,12000000,2020
Alec Mills,569500,2020
Adbert Alzolay,563500,2020
Trevor Bauer,17500000,2020
Sonny Gray,10203667,2020
Wade Miley,6000000,2020
Luis Castillo,663500,2020
Tyler Mahle,609793,2020
Carlos Carrasco,10250000,2020
Shane Bieber,623200,2020
Cal Quantrill,571800,2020
Aaron Civale,563500,2020
Zach Plesac,563500,2020
Jon Gray,5600000,2020
German Marquez,4800000,2020
Kyle Freeland,2875000,2020
Antonio Senzatela,573500,2020
Ryan Castellani,563500,2020
Matt Boyd,5300000,2020
Michael Fulmer,2800000,2020
Ivan Nova,1593000,2020
Spencer Turnbull,573500,2020
Dario Agrazal,563500,2020
Casey Mize,563500,2020
Tarik Skubal,563500,2020
Zack Greinke,35000000,2020
Justin Verlander,33000000,2020
Lance McCullers,4100000,2020
Josh James,590700,2020
Framber Valdez,582200,2020
Jose Urquidy,574600,2020
Rogelio Armenteros,569100,2020
Cristian Javier,563500,2020
Danny Duffy,15250000,2020
Mike Montgomery,3100000,2020
Brad Keller,613000,2020
Jake Junis,608000,2020
Glenn Sparkman,604500,2020
Kris Bubic,563500,2020
Carlos Hernandez,563500,2020
Brady Singer,563500,2020
Julio Teheran,9000000,2020
Dylan Bundy,5000000,2020
Andrew Heaney,4300000,2020
Griffin Canning,570500,2020
David Price,32000000,2020
Clayton Kershaw,31000000,2020
Julio Urias,1000000,2020
Walker Buehler,603500,2020
Dustin May,573500,2020
Anthony Gonsolin,566000,2020
Brusdar Graterol,566000,2020
Jose Urena,3750000,2020
Sandy Alcantara,620000,2020
Pablo Lopez,575000,2020
Elieser Hernandez,571500,2020
Daniel Castano,563500,2020
Trevor Rogers,563500,2020
Sixto Sanchez,563500,2020
Brett Anderson,5148000,2020
Josh Lindblom,3226666,2020
Brent Suter,950000,2020
Brandon Woodruff,633100,2020
Adrian Houser,581600,2020
Corbin Burnes,570000,2020
Jake Odorizzi,17800000,2020
Michael Pineda,10000000,2020
Rich Hill,6518518,2020
Kenta Maeda,5310000,2020
Jose Berrios,4025000,2020
Gerrit Cole,36000000,2020
Masahiro Tanaka,23000000,2020
J.A. Happ,17000000,2020
James Paxton,12500000,2020
Luis Severino,10500000,2020
Jordan Montgomery,805000,2020
Deivi Garcia,563500,2020
Clarke Schmidt,563500,2020
Jacob deGrom,25500000,2020
Marcus Stroman,12000000,2020
Rick Porcello,10000000,2020
Noah Syndergaard,9700000,2020
Seth Lugo,2000000,2020
Corey Oswalt,563500,2020
David Peterson,563500,2020
Mike Minor,9833334,2020
Michael Fiers,8100000,2020
Sean Manaea,3750000,2020
Chris Bassitt,2250000,2020
Frankie Montas,573500,2020
Jesus Luzardo,563500,2020
A.J. Puk,563500,2020
Zack Wheeler,21500000,2020
Jake Arrieta,20000000,2020
Aaron Nola,8500000,2020
Vincent Velasquez,3600000,2020
Zach Eflin,2625000,2020
Spencer Howard,563500,2020
Chris Archer,9000000,2020
Trevor Williams,2825000,2020
Joe Musgrove,2800000,2020
Jameson Taillon,2250000,2020
Chad Kuhl,840000,2020
Steven Brault,590500,2020
Mitch Keller,577500,2020
JT Brubaker,563500,2020
Zach Davies,5250000,2020
Mike Clevinger,4100000,2020
Dinelson Lamet,1300000,2020
Chris Paddack,588500,2020
Anderson Espinoza,563500,2020
Johnny Cueto,21000000,2020
Kevin Gausman,9000000,2020
Drew Smyly,4093000,2020
Tyler Anderson,2090000,2020
Tyler Beede,569750,2020
Logan Webb,566625,2020
Yusei Kikuchi,15500000,2020
Marco Gonzales,1000000,2020
Justus Sheffield,566300,2020
Justin Dunn,564500,2020
Gerson Bautista,564100,2020
Nick Margevicius,563500,2020
Ljay Newsome,563500,2020
Miles Mikolas,16750000,2020
Carlos Martinez,11700000,2020
Adam Wainwright,6111111,2020
Kwang-hyun Kim,4000000,2020
Jack Flaherty,604500,2020
Dakota Hudson,580500,2020
Austin Gomber,570000,2020
Ricardo Sanchez,563500,2020
Edwin Nunez,525000,2020
Charlie Morton,15000000,2020
Blake Snell,7600000,2020
Tyler Glasnow,2050000,2020
Ryan Yarbrough,578500,2020
Josh Fleming,563500,2020
Corey Kluber,17500000,2020
Kyle Gibson,11555555,2020
Lance Lynn,11333333,2020
Jordan Lyles,8000000,2020
Brock Burke,564500,2020
Wes Benjamin,563500,2020
Kyle Cody,563500,2020
Hyun-Jin Ryu,20000000,2020
Tanner Roark,12000000,2020
Robbie Ray,9430000,2020
Chase Anderson,8500000,2020
Matt Shoemaker,4200000,2020
Taijuan Walker,2370370,2020
Trent Thornton,581900,2020
Yennsy Diaz,564000,2020
T.J. Zeuch,563500,2020
Nate Pearson,563500,2020
Max Scherzer,35920616,2020
Stephen Strasburg,35000000,2020
Patrick Corbin,19416666,2020
Anibal Sanchez,9555555,2020
Joe Ross,1500000,2020
Austin Voth,568900,2020
Erick Fedde,563500,2020
