player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Aaron Loup,186,86.9258064516129,85.52540540540541,2205.1945945945945,1.0354838709677419,0.38225806451612904,0.005376344086021506,0.21621621621621623,0.40540540540540543,0.25,0.3611627906976744,571901,1050000,2016
Aaron Nola,1867,85.24949116229244,84.89763948497854,2136.7661637931033,-0.5524370648098554,0.21156936261381895,5.356186395286556e-4,0.2703296703296703,0.4043956043956044,0.345565749235474,0.32660606060606057,605400,517500,2016
Aaron Sanchez,2747,92.1192937750273,91.56796045404614,2343.064801178203,-0.9372770294867128,0.8446669093556607,3.6403349108117945e-4,0.22418879056047197,0.3333333333333333,0.26796116504854367,0.28543741588156124,592717,517800,2016
Adam Conley,2191,89.09087174806025,88.06919022520364,2263.858333333333,1.1663167503423095,1.1472843450479233,4.5641259698767686e-4,0.24742268041237114,0.3835051546391753,0.30337078651685395,0.3333272727272727,543045,512500,2016
Adam Ottavino,343,88.88775510204081,89.54053254437869,2404.203761755486,-0.08425655976676384,0.39387755102040817,0.0029154518950437317,0.2,0.32857142857142857,0.2682926829268293,0.27565789473684216,493603,1300000,2016
Adam Wainwright,3040,84.75822368421052,84.50775862068966,2339.7332883187037,-0.07411184210526316,0.40901315789473686,3.289473684210526e-4,0.2825788751714678,0.4224965706447188,0.3327433628318584,0.33390920554854986,425794,19500000,2016
Adam Warren,1044,88.81973180076628,88.33251473477407,2147.768218623482,-0.3414750957854406,0.9594827586206897,9.578544061302681e-4,0.23943661971830985,0.4084507042253521,0.2608695652173913,0.31728813559322033,476589,1700000,2016
Addison Reed,1067,91.11302717900656,91.71062030075188,2104.097609561753,-0.25941893158388,1.269353327085286,9.372071227741331e-4,0.19291338582677164,0.25984251968503935,0.2727272727272727,0.21243346007604563,592665,5300000,2016
AJ Ramos,1054,86.44193548387096,85.42480544747082,2351.868686868687,-0.23548387096774193,0.6565464895635673,9.487666034155598e-4,0.2186046511627907,0.2651162790697674,0.3108108108108108,0.28792156862745094,573109,3400000,2016
Alex Cobb,386,87.00751295336788,84.9154046997389,2053.8376963350784,-0.7336787564766839,0.9178756476683938,0.0025906735751295338,0.3368421052631579,0.5894736842105263,0.36,0.41504854368932037,502171,4000000,2016
Alex Colome,773,92.2849935316947,91.5229274611399,2117.0637393767706,0.10892626131953428,1.2865459249676585,0.00129366106080207,0.2127659574468085,0.2925531914893617,0.3050847457627119,0.25507462686567167,517008,521700,2016
Alex Wilson,972,89.80154320987654,89.7904860392968,2280.760339342524,-0.3830246913580247,1.1561728395061728,0.00102880658436214,0.2629310344827586,0.4051724137931034,0.296875,0.30561752988047813,543935,522500,2016
Alex Wood,985,87.53086294416244,86.69722792607803,1912.2183544303798,0.716243654822335,0.814010152284264,0.0010152284263959391,0.2445414847161572,0.34934497816593885,0.31875,0.3043700787401575,622072,530000,2016
Alexi Ogando,623,90.94012841091492,89.71610305958131,2263.683185840708,-0.5070626003210272,1.2208667736757624,0.0016051364365971107,0.2711864406779661,0.3898305084745763,0.32967032967032966,0.3387943262411348,468396,2000000,2016
Alfredo Simon,1070,88.7207476635514,87.78016997167138,2054.564375605034,-0.6776635514018692,0.855981308411215,9.345794392523365e-4,0.35294117647058826,0.5966386554621849,0.37037037037037035,0.46335740072202164,430580,2000000,2016
Andrew Cashner,2038,91.31403336604514,90.0304583538689,2142.27065382666,-0.6712463199214916,1.1080471050049068,4.906771344455348e-4,0.275626423690205,0.5079726651480638,0.3128834355828221,0.3819718309859156,488768,7150000,2016
Andrew Chafin,351,90.43618233618234,90.71509971509971,2146,0.7698005698005698,1.0344729344729344,0.002849002849002849,0.25882352941176473,0.35294117647058826,0.375,0.3229166666666667,605177,519700,2016
