player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Elieser Hernandez,Fastball,267,91.3,91.8,2264.9,-0.610,1.491,0.004,0.274,0.484,0.341,0.365
Elieser Hernandez,Off-speed,186,79.7,80.1,2212.6, 0.699,0.875,0.005,0.108,0.297,0.105,0.217
Emilio Pagan,Fastball,228,94.5,95.0,2441.3,-0.459,1.467,0.004,0.245,0.509,0.250,0.365
Emilio Pagan,Off-speed,138,86.4,87.1,2248.8, 0.198,0.281,0.007,0.042,0.083,0.067,0.078
Enoli Paredes,Fastball,247,95.7,95.6,2395.7,-0.263,1.370,0.004,0.269,0.365,0.325,0.361
Enoli Paredes,Off-speed,115,85.2,85.1,2843.8, 0.681,0.125,0.009,0.167,0.250,0.250,0.192
Erasmo Ramirez,Off-speed,188,88.1,88.6,2178.2,-0.611,0.657,0.005,0.159,0.182,0.200,0.195
Eric Lauer,Fastball,130,91.5,90.8,2206.3, 0.856,1.376,0.008,0.474,0.526,0.529,0.455
Eric Lauer,Off-speed,114,83.5,82.9,2228.6,-0.091,0.260,0.009,0.276,0.621,0.333,0.487
Eric Yardley,Off-speed,410,82.7,82.4,2308.4,-0.468,-0.043,0.002,0.224,0.353,0.262,0.305
Erick Fedde,Off-speed,751,88.9,89.3,1936.6,-0.278,0.453,0.001,0.240,0.425,0.237,0.336
Erik Swanson,Fastball,111,95.6,96.6,2273.8,-0.754,1.505,0.009,0.333,0.714,0.357,0.517
Evan Marshall,Off-speed,306,86.1,85.2,2158.7,-0.547,-0.082,0.003,0.143,0.214,0.209,0.198
Evan Phillips,Fastball,188,94.5,94.4,2247.0,-0.691,1.397,0.005,0.265,0.353,0.364,0.383
Felix Pena,Off-speed,430,89.5,88.9,2223.6,-0.984,0.638,0.002,0.245,0.324,0.329,0.280
Framber Valdez,Off-speed,1028,88.4,87.7,2450.0,0.317,-0.103,0.001,0.241,0.345,0.315,0.296
Frankie Montas,Fastball,219,95.9,95.2,2384.1,-0.630,1.488,0.005,0.170,0.319,0.273,0.249
Frankie Montas,Off-speed,695,90.9,90.5,2256.1,-0.658,0.664,0.001,0.301,0.509,0.342,0.387
Franklyn Kilome,Off-speed,213,88.8,89.4,2190.2,-0.417,0.491,0.005,0.289,0.667,0.296,0.469
Freddy Peralta,Fastball,364,93.0,94.8,2416.1,-0.471, 1.358,0.003,0.203,0.275,0.325,0.250
Freddy Peralta,Off-speed,189,78.4,79.4,2350.1, 1.105,-0.254,0.005,0.205,0.410,0.350,0.381
Garrett Richards,Fastball,365,95.1,95.0,2626.3,0.024, 0.885,0.003,0.276,0.379,0.284,0.316
Garrett Richards,Off-speed,423,88.3,88.0,2899.5,0.165,-0.257,0.002,0.217,0.443,0.283,0.334
Genesis Cabrera,Fastball,200,96.1,95.4,2282.4,0.670, 1.522,0.005,0.154,0.308,0.190,0.363
Genesis Cabrera,Off-speed,197,85.1,84.4,2277.5,0.110,-0.167,0.005,0.108,0.243,0.150,0.252
Geoff Hartlieb,Off-speed,398,88.5,88.6,2295.4,-0.232,0.188,0.003,0.200,0.280,0.255,0.333
German Marquez,Fastball,464,95.9,94.5,2156.1,-0.568,1.130,0.002,0.337,0.510,0.355,0.409
German Marquez,Off-speed,762,88.4,87.3,2420.0,-0.218,0.227,0.001,0.207,0.312,0.273,0.241
Gerrit Cole,Fastball,635,96.7,97.0,2505.1,-1.015, 1.491,0.002,0.226,0.466,0.235,0.324
Gerrit Cole,Off-speed,568,86.7,87.1,2563.5, 0.353,-0.086,0.002,0.164,0.336,0.259,0.255
Gio Gonzalez,Fastball,203,90.0,90.3,2206.0,0.633,1.298,0.005,0.410,0.538,0.484,0.498
Gio Gonzalez,Off-speed,415,82.5,82.5,2045.4,0.493,0.080,0.002,0.261,0.446,0.311,0.344
Giovanny Gallegos,Fastball,111,93.7,92.6,2385.0,-0.826,1.446,0.009,0.280,0.440,0.333,0.341
Giovanny Gallegos,Off-speed,118,85.4,84.6,2401.6, 0.166,0.031,0.008,0.071,0.071,0.154,0.105
Grant Dayton,Fastball,294,90.6,90.7,2222.6, 0.691, 1.500,0.003,0.175,0.397,0.189,0.305
Grant Dayton,Off-speed,196,77.0,77.0,2426.7,-0.393,-0.868,0.005,0.275,0.325,0.355,0.287
Greg Holland,Fastball,167,92.9,92.7,2313.0,-0.037, 1.402,0.006,0.138,0.310,0.130,0.308
Greg Holland,Off-speed,280,84.5,84.5,2207.8, 0.395,-0.047,0.004,0.225,0.310,0.348,0.261
Gregory Soto,Off-speed,376,95.2,96.0,2418.2,0.871,0.783,0.003,0.183,0.280,0.255,0.288
Griffin Canning,Fastball,393,92.8,91.9,2358.6,-0.711,1.498,0.003,0.305,0.585,0.317,0.406
Griffin Canning,Off-speed,572,87.5,86.6,2304.1,-0.312,0.321,0.002,0.227,0.352,0.299,0.294
Hansel Robles,Fastball,144,95.4,95.2,2320.4,-1.001,1.338,0.007,0.355,0.742,0.400,0.506
Hansel Robles,Off-speed,173,89.1,89.1,1769.8,-0.994,0.538,0.006,0.222,0.361,0.292,0.315
Heath Hembree,Fastball,210,93.9,94.5,2500.9,-0.871,1.420,0.005,0.325,0.900,0.333,0.556
Heath Hembree,Off-speed,153,86.1,86.9,2728.3, 0.431,0.261,0.007,0.333,0.615,0.333,0.442
Hector Neris,Fastball,170,93.8,93.4,2352.5,-0.841,1.315,0.006,0.286,0.286,0.370,0.327
Hector Neris,Off-speed,229,87.0,86.9,1343.8,-0.750,0.117,0.004,0.255,0.327,0.389,0.283
Hector Rondon,Fastball,192,95.7,95.7,2044.6,-0.676,1.270,0.005,0.311,0.844,0.267,0.512
Hector Rondon,Off-speed,198,87.6,87.9,2187.9,-0.008,0.208,0.005,0.282,0.385,0.423,0.335
Hoby Milner,Off-speed,247,83.2,83.2,1907.6,0.135,0.266,0.004,0.250,0.558,0.235,0.399
Huascar Ynoa,Fastball,174,94.8,94.1,2060.6,-0.781,1.310,0.006,0.342,0.500,0.333,0.435
Huascar Ynoa,Off-speed,221,86.1,85.4,2249.4,-0.130,0.066,0.005,0.222,0.356,0.300,0.302
Humberto Castellanos,Off-speed,142,83.4,83.1,1923.0,-0.401,0.192,0.007,0.312,0.500,0.360,0.436
Humberto Mejia,Fastball,107,92.8,92.2,2230.6,-0.583,1.503,0.009,0.240,0.640,0.200,0.408
Hunter Harvey,Fastball,110,97.3,96.2,2098.1,-0.711,1.462,0.009,0.217,0.478,0.176,0.302
Hyun Jin Ryu,Fastball,273,89.8,90.1,1996.1,0.798,1.130,0.004,0.340,0.560,0.400,0.413
Hyun Jin Ryu,Off-speed,859,81.6,82.1,1904.5,0.356,0.296,0.001,0.210,0.302,0.282,0.256
Ian Anderson,Fastball,268,94.1,95.8,2063.2,-0.385,1.537,0.004,0.212,0.288,0.278,0.292
Ian Anderson,Off-speed,303,84.7,86.2,1900.8,-0.462,0.432,0.003,0.143,0.186,0.227,0.212
Ian Gibaut,Fastball,131,95.2,93.4,2052.6,-0.479,1.345,0.008,0.258,0.484,0.300,0.388
Ian Gibaut,Off-speed,110,86.2,84.2,2133.9,-0.044,0.461,0.009,0.188,0.312,0.273,0.327
Ian Kennedy,Fastball,130,93.6,94.1,2466.2,-0.828,1.318,0.008,0.300,0.633,0.316,0.419
Ian Kennedy,Off-speed,131,87.4,88.0,2236.9, 0.008,0.411,0.008,0.344,0.750,0.333,0.509
Ivan Nova,Off-speed,246,87.4,87.0,2149.0,-0.830,0.280,0.004,0.250,0.412,0.246,0.325
J.A. Happ,Fastball,349,91.6,91.2,2371.5,0.647,1.474,0.003,0.210,0.452,0.225,0.354
J.A. Happ,Off-speed,438,86.7,86.4,2098.6,0.670,0.617,0.002,0.209,0.348,0.227,0.260
J.B. Wendelken,Fastball,203,94.6,94.5,2442.4,-0.267, 1.219,0.005,0.178,0.200,0.276,0.246
J.B. Wendelken,Off-speed,224,86.5,85.2,2339.9,-0.033,-0.039,0.004,0.188,0.354,0.219,0.255
Jace Fry,Off-speed,309,85.6,84.2,2266.9,0.256,0.067,0.003,0.200,0.338,0.282,0.283
Jack Flaherty,Fastball,318,94.0,94.8,2198.9,-0.484,1.255,0.003,0.238,0.397,0.308,0.352
Jack Flaherty,Off-speed,401,84.3,84.9,2281.7, 0.296,0.046,0.002,0.209,0.349,0.268,0.289
Jacob Barnes,Fastball,144,95.2,95.6,2376.5,-0.274,1.544,0.007,0.174,0.217,0.235,0.307
Jacob Barnes,Off-speed,165,89.5,90.2,2322.6, 0.359,0.595,0.006,0.326,0.478,0.483,0.350
Jacob deGrom,Fastball,510,98.6,99.8,2477.0,-0.577,1.393,0.002,0.186,0.320,0.300,0.248
Jacob deGrom,Off-speed,625,91.8,93.2,2283.5,-0.120,0.348,0.002,0.192,0.325,0.278,0.253
Jacob Waguespack,Fastball,174,92.5,93.4,1989.7,-0.166,1.457,0.006,0.206,0.324,0.250,0.317
Jacob Waguespack,Off-speed,223,84.3,85.1,1768.5,-0.222,0.611,0.004,0.455,0.591,0.514,0.486
Jaime Barria,Fastball,161,92.1,91.7,2301.9,-0.485,1.303,0.006,0.258,0.548,0.250,0.400
Jaime Barria,Off-speed,350,85.4,85.0,2112.5,-0.125,0.579,0.003,0.211,0.356,0.261,0.263
Jairo Diaz,Off-speed,284,89.7,89.6,2236.8,-0.418,0.269,0.004,0.344,0.578,0.396,0.445
Jake Arrieta,Off-speed,726,89.7,88.1,2092.5,-0.793,0.438,0.001,0.298,0.456,0.333,0.361
Jake Diekman,Fastball,197,95.1,94.1,2253.7, 1.103,1.102,0.005,0.053,0.132,0.053,0.196
Jake Diekman,Off-speed,157,83.6,83.5,2703.8,-0.938,0.096,0.006,0.188,0.188,0.316,0.232
Jake McGee,Fastball,320,94.9,94.7,2272.9,0.938,1.278,0.003,0.194,0.361,0.300,0.250
Jake Newberry,Fastball,175,93.4,92.8,2403.3,-0.211, 1.334,0.006,0.333,0.481,0.381,0.446
Jake Newberry,Off-speed,212,83.5,83.2,2551.8, 0.351,-0.045,0.005,0.216,0.373,0.281,0.309
Jake Odorizzi,Fastball,117,93.0,92.7,2237.8,-0.917,1.295,0.009,0.278,0.333,0.417,0.329
Jake Odorizzi,Off-speed,166,84.5,84.6,1768.2,-0.086,0.322,0.006,0.306,0.694,0.259,0.454
Jake Woodford,Fastball,156,92.7,93.2,2265.6,-0.438, 1.169,0.006,0.316,0.711,0.241,0.448
Jake Woodford,Off-speed,204,82.6,82.7,2388.2, 0.336,-0.453,0.005,0.195,0.366,0.214,0.263
Jakob Junis,Fastball,137,91.1,91.2,2097.0,-0.363,1.169,0.007,0.275,0.575,0.219,0.405
Jakob Junis,Off-speed,257,82.8,82.4,2313.9, 0.681,0.008,0.004,0.369,0.585,0.438,0.434
Jalen Beeks,Fastball,137,93.0,93.4,2035.2,0.555,1.487,0.007,0.310,0.379,0.562,0.327
Jalen Beeks,Off-speed,186,87.6,87.8,1984.0,0.954,0.686,0.005,0.255,0.383,0.333,0.294
James Hoyt,Off-speed,202,82.0,81.6,2635.0,-0.097,0.215,0.005,0.184,0.327,0.276,0.271
James Karinchak,Fastball,235,95.5,95.1,2395.8,-0.420, 1.709,0.004,0.184,0.342,0.286,0.241
James Karinchak,Off-speed,233,83.2,82.9,2357.0,-0.201,-0.617,0.004,0.140,0.140,0.412,0.230
James Paxton,Fastball,202,92.1,92.1,2225.6,1.176,1.178,0.005,0.312,0.625,0.353,0.442
James Paxton,Off-speed,154,82.3,82.6,2117.3,0.221,0.058,0.006,0.242,0.394,0.389,0.302
James Pazos,Off-speed,131,88.5,89.4,2062.3,0.426,0.549,0.008,0.435,0.957,0.350,0.590
Jared Hughes,Off-speed,380,87.2,87.5,1950.2,-0.517,0.089,0.003,0.253,0.391,0.308,0.344
Jarlin Garcia,Fastball,138,93.7,93.9,2186.9,1.280,0.973,0.007,0.111,0.148,0.130,0.234
Jarlin Garcia,Off-speed,146,84.4,84.7,2265.2,0.153,0.234,0.007,0.242,0.273,0.308,0.270
Jason Adam,Fastball,139,94.8,95.5,2727.6,-0.614, 1.282,0.007,0.250,0.625,0.286,0.442
Jason Adam,Off-speed,121,84.1,84.4,2550.6, 0.085,-0.479,0.008,0.115,0.154,0.231,0.139
Javy Guerra,Fastball,193,91.8,91.5,2202.1,-0.241,1.651,0.005,0.238,0.381,0.267,0.330
Javy Guerra,Off-speed,328,91.9,91.8,2200.2,-0.551,0.548,0.003,0.420,0.531,0.500,0.439
Jeff Hoffman,Fastball,218,94.4,95.2,2425.2,-0.827, 1.267,0.005,0.356,0.627,0.360,0.449
Jeff Hoffman,Off-speed,181,82.3,82.9,1859.1,-0.275,-0.222,0.006,0.344,0.469,0.550,0.403
Jeff Samardzija,Off-speed,242,85.9,86.4,2501.4,-0.662,0.820,0.004,0.254,0.542,0.208,0.391
Jeffrey Springs,Off-speed,405,86.9,87.2,2011.3,0.536,0.843,0.002,0.333,0.589,0.431,0.422
Jeremy Jeffress,Off-speed,301,87.9,88.6,1918.1,-0.614,0.236,0.003,0.131,0.197,0.156,0.227
Jesse Chavez,Off-speed,283,88.8,88.3,2208.8,-0.682,0.747,0.004,0.311,0.607,0.304,0.421
Jesse Hahn,Off-speed,288,88.0,88.0,2645.9,-0.191,0.037,0.003,0.071,0.089,0.108,0.159
Jesus Luzardo,Fastball,307,95.5,93.9,2439.0,1.212,1.108,0.003,0.215,0.508,0.205,0.361
Jesus Luzardo,Off-speed,633,88.7,87.3,2267.3,0.938,0.347,0.002,0.273,0.398,0.348,0.324
Jesus Tinoco,Off-speed,136,90.8,90.3,2230.2,-0.804,0.471,0.007,0.120,0.120,0.158,0.234
Jeurys Familia,Off-speed,390,93.4,92.7,2123.9,-0.943,0.452,0.003,0.221,0.372,0.262,0.345
Jimmy Cordero,Off-speed,385,93.5,94.9,2050.5,-0.893,0.598,0.003,0.293,0.414,0.346,0.350
Jimmy Herget,Fastball,151,93.5,88.0,2344.9,-1.238,0.880,0.007,0.136,0.318,0.111,0.338
Jimmy Herget,Off-speed,199,83.5,79.7,2506.8, 0.081,0.191,0.005,0.213,0.340,0.273,0.312
Joakim Soria,Fastball,247,92.4,92.9,2280.7,-0.489, 1.436,0.004,0.268,0.390,0.303,0.317
Joakim Soria,Off-speed,130,79.2,79.5,2405.2, 0.665,-0.370,0.008,0.167,0.190,0.250,0.178
Joe Jimenez,Fastball,242,94.2,94.5,2465.0,-0.908,1.364,0.004,0.280,0.500,0.275,0.430
Joe Jimenez,Off-speed,147,84.9,85.5,2231.1, 0.127,0.154,0.007,0.289,0.684,0.333,0.441
Joe Kelly,Off-speed,147,89.7,89.3,2825.0,0.269,-0.431,0.007,0.267,0.367,0.364,0.304
Joe Musgrove,Fastball,182,92.6,92.2,2450.9,-0.469, 1.052,0.005,0.324,0.676,0.310,0.448
Joe Musgrove,Off-speed,491,84.7,84.3,2522.0, 0.321,-0.156,0.002,0.193,0.312,0.322,0.278
Joely Rodriguez,Off-speed,168,92.2,92.0,1648.7,1.224,0.313,0.006,0.143,0.200,0.238,0.178
Joey Gerber,Off-speed,169,88.8,89.1,2171.2,-0.414,0.924,0.006,0.216,0.351,0.219,0.308
Joey Lucchesi,Off-speed,123,85.6,86.3,2109.1,0.544,0.533,0.008,0.464,0.536,0.542,0.473
Johan Oviedo,Fastball,249,94.8,96.6,2276.9,-0.297, 0.916,0.004,0.259,0.500,0.265,0.410
Johan Oviedo,Off-speed,195,83.2,84.7,2430.9, 0.514,-0.067,0.005,0.250,0.333,0.286,0.327
John Curtiss,Fastball,214,94.0,94.5,2308.8,-0.487,1.420,0.005,0.250,0.423,0.282,0.291
John Curtiss,Off-speed,170,85.3,85.7,2564.9, 0.419,0.168,0.006,0.190,0.262,0.250,0.281
John Gant,Off-speed,208,86.8,86.8,2253.0,-0.713,0.466,0.005,0.174,0.196,0.258,0.215
John King,Off-speed,179,88.1,87.6,2050.9,0.991,0.126,0.006,0.295,0.477,0.324,0.407
John Means,Fastball,390,93.8,93.4,2458.5,0.540,1.613,0.003,0.155,0.366,0.158,0.297
John Means,Off-speed,355,83.7,83.2,2408.2,0.204,0.634,0.003,0.269,0.516,0.247,0.353
John Schreiber,Fastball,136,89.8,90.5,2141.5,-0.210,0.512,0.007,0.344,0.594,0.417,0.400
John Schreiber,Off-speed,145,80.3,80.8,2192.5, 0.523,0.088,0.007,0.250,0.375,0.280,0.329
Johnny Cueto,Fastball,369,91.4,90.6,2222.4,-0.869,1.230,0.003,0.353,0.647,0.380,0.488
Johnny Cueto,Off-speed,776,83.6,83.1,1890.4,-0.508,0.381,0.001,0.209,0.339,0.250,0.277
JoJo Romero,Off-speed,127,88.9,87.5,2196.9,0.620,0.406,0.008,0.342,0.500,0.429,0.425
Jon Gray,Fastball,318,94.0,94.7,2148.1,-0.935,0.928,0.003,0.258,0.360,0.289,0.319
Jon Gray,Off-speed,340,85.1,85.7,2192.1, 0.024,0.372,0.003,0.310,0.634,0.298,0.419
Jon Lester,Fastball,280,89.4,90.0,2219.9,0.617,1.294,0.004,0.295,0.639,0.250,0.436
Jon Lester,Off-speed,728,84.4,85.0,2251.2,0.256,0.548,0.001,0.254,0.403,0.292,0.320
Jonathan Hernandez,Off-speed,496,93.4,87.5,2301.4,-0.722,0.616,0.002,0.220,0.330,0.282,0.302
Jonathan Holder,Fastball,208,92.1,92.5,2399.2,-0.273,1.395,0.005,0.283,0.565,0.278,0.388
Jonathan Holder,Off-speed,189,85.1,85.5,2218.1,-0.317,0.223,0.005,0.279,0.326,0.324,0.310
Jonathan Loaisiga,Fastball,168,96.9,97.0,2364.1,-0.480,1.361,0.006,0.200,0.333,0.217,0.306
Jonathan Loaisiga,Off-speed,226,90.5,90.6,2284.7,-0.595,0.569,0.004,0.263,0.456,0.333,0.380
Jordan Lyles,Fastball,432,92.3,92.5,2145.0,-0.644, 1.474,0.002,0.330,0.651,0.280,0.463
Jordan Lyles,Off-speed,561,83.1,83.4,2257.8, 0.077,-0.341,0.002,0.248,0.364,0.293,0.285
Jordan Montgomery,Fastball,142,92.6,92.5,2300.8,0.573,1.339,0.007,0.400,0.600,0.500,0.450
Jordan Montgomery,Off-speed,605,86.1,85.7,2091.8,0.631,0.752,0.002,0.238,0.411,0.286,0.312
Jordan Romano,Off-speed,142,89.1,90.8,2225.4,0.292,0.023,0.007,0.219,0.438,0.227,0.306
Jordan Weems,Fastball,138,95.3,95.7,2220.6,-0.617,1.547,0.007,0.296,0.481,0.350,0.409
Jordan Yamamoto,Off-speed,184,81.4,81.2,2681.5,0.615,-0.144,0.005,0.421,0.842,0.480,0.543
Jorge Alcala,Fastball,187,96.9,96.0,2400.3,-0.622,1.425,0.005,0.333,0.455,0.435,0.398
Jorge Alcala,Off-speed,216,88.7,87.8,2413.5, 0.016,0.398,0.005,0.189,0.321,0.235,0.238
Jorge Lopez,Fastball,137,94.0,94.2,1910.1,-0.782,1.218,0.007,0.276,0.655,0.185,0.428
Jorge Lopez,Off-speed,498,87.7,87.8,2029.1,-0.557,0.105,0.002,0.306,0.427,0.362,0.357
Jose Alvarado,Off-speed,194,94.8,95.7,2162.6,0.744,0.664,0.005,0.250,0.472,0.318,0.403
Jose Alvarez,Off-speed,111,86.9,87.2,2202.7,0.945,0.666,0.009,0.300,0.350,0.429,0.339
Jose Berrios,Fastball,286,94.5,94.8,2192.1,-0.904,1.267,0.003,0.380,0.780,0.417,0.532
Jose Berrios,Off-speed,816,87.3,87.6,2067.4,-0.225,0.306,0.001,0.201,0.280,0.264,0.265
Jose Cisnero,Fastball,303,96.3,96.1,2412.0,-0.839,1.222,0.003,0.274,0.403,0.364,0.383
Jose Cisnero,Off-speed,216,88.5,87.6,2273.3,-0.149,0.199,0.005,0.128,0.149,0.200,0.145
Jose De Leon,Off-speed,140,92.0,92.9,2080.2,-0.793,0.946,0.007,0.261,0.391,0.417,0.399
Jose Urena,Off-speed,321,91.0,90.9,2216.3,-0.708,0.527,0.003,0.269,0.474,0.274,0.383
Jose Urquidy,Fastball,234,93.1,92.4,2216.3,-0.620,1.628,0.004,0.216,0.333,0.205,0.272
Jose Urquidy,Off-speed,195,80.9,80.3,2297.9,-0.014,0.102,0.005,0.196,0.321,0.209,0.275
Josh A. Smith,Off-speed,345,84.0,84.0,2604.0,0.405,0.266,0.003,0.353,0.576,0.375,0.421
Josh Fleming,Off-speed,466,87.5,87.7,1838.7,0.974,0.467,0.002,0.231,0.397,0.253,0.303
Josh Hader,Fastball,252,94.5,95.4,2063.5, 0.827, 1.423,0.004,0.179,0.462,0.190,0.358
Josh Hader,Off-speed,120,80.3,80.8,2497.6,-0.622,-0.014,0.008,0.038,0.038,0.100,0.177
Josh James,Fastball,196,96.3,96.4,2307.4,-0.670, 1.306,0.005,0.300,0.600,0.360,0.486
Josh James,Off-speed,144,86.2,86.1,2253.1, 0.067,-0.160,0.007,0.125,0.292,0.143,0.261
Josh Lindblom,Fastball,278,90.1,90.2,2551.0,-0.421,1.409,0.004,0.275,0.490,0.355,0.422
Josh Lindblom,Off-speed,515,80.4,80.5,2196.6, 0.370,0.263,0.002,0.233,0.383,0.305,0.295
Josh Osich,Off-speed,235,86.2,85.9,2228.9,-0.001,0.227,0.004,0.246,0.557,0.273,0.397
Josh Staumont,Fastball,321,98.0,98.6,2386.7,-0.331, 1.542,0.003,0.224,0.241,0.310,0.311
Josh Staumont,Off-speed,151,84.5,84.6,2855.1, 0.542,-0.900,0.007,0.200,0.371,0.417,0.339
Josh Tomlin,Fastball,106,88.3,87.2,2294.1,-0.733,1.456,0.009,0.200,0.480,0.158,0.333
Josh Tomlin,Off-speed,469,82.6,82.0,2583.5, 0.179,0.447,0.002,0.276,0.425,0.333,0.319
JT Brubaker,Fastball,112,93.5,93.0,2255.7,-0.667,1.212,0.009,0.450,0.650,0.529,0.606
JT Brubaker,Off-speed,692,89.0,88.7,2484.6,-0.439,0.341,0.001,0.239,0.399,0.287,0.308
Julian Merryweather,Fastball,133,96.7,96.6,2323.9,-0.592, 1.437,0.008,0.188,0.219,0.261,0.248
Julian Merryweather,Off-speed,100,82.5,83.0,1960.2,-0.201,-0.067,0.010,0.294,0.412,0.455,0.328
Julio Teheran,Fastball,148,89.2,89.4,2329.9,-0.658,1.118,0.007,0.379,1.000,0.312,0.603
Julio Teheran,Off-speed,424,83.6,83.7,2289.8,-0.599,0.329,0.002,0.286,0.541,0.268,0.397
Julio Urias,Fastball,489,94.2,93.3,2477.3, 0.347,1.452,0.002,0.193,0.325,0.212,0.270
Julio Urias,Off-speed,386,82.6,81.8,2516.6,-0.389,0.097,0.003,0.253,0.330,0.310,0.278
Junior Guerra,Fastball,134,93.9,94.1,2494.6,-0.400,1.525,0.007,0.182,0.273,0.211,0.353
Junior Guerra,Off-speed,270,88.0,88.2,2195.8,-0.457,0.611,0.004,0.217,0.317,0.286,0.286
Justin Dunn,Fastball,429,91.2,91.6,2240.1,-0.674,1.426,0.002,0.146,0.293,0.136,0.305
Justin Dunn,Off-speed,372,81.9,82.0,2289.5, 0.644,0.191,0.003,0.232,0.524,0.235,0.364
Justin Topa,Off-speed,118,93.2,92.9,2262.8,-0.632,0.267,0.008,0.241,0.414,0.375,0.283
Justin Wilson,Fastball,199,94.9,94.4,2281.4, 0.524,1.580,0.005,0.162,0.189,0.261,0.229
Justin Wilson,Off-speed,146,90.1,90.1,2392.8,-0.227,0.817,0.007,0.324,0.405,0.407,0.367
Justus Sheffield,Off-speed,874,87.4,86.8,2090.3,0.681,0.297,0.001,0.254,0.307,0.316,0.298
Keegan Akin,Fastball,310,91.9,90.8,2389.3,0.922,1.513,0.003,0.231,0.369,0.317,0.294
Keegan Akin,Off-speed,190,80.0,79.2,2259.6,0.269,0.074,0.005,0.316,0.526,0.423,0.411
Kendall Graveman,Off-speed,301,92.3,92.6,2253.8,-1.006,0.659,0.003,0.217,0.350,0.250,0.297
Kenley Jansen,Off-speed,446,90.4,89.1,2438.2,0.302,1.085,0.002,0.211,0.311,0.309,0.303
Kenta Maeda,Fastball,185,91.6,91.4,2269.4,-0.649,1.276,0.005,0.086,0.114,0.158,0.104
Kenta Maeda,Off-speed,801,84.1,83.8,2120.0,-0.339,0.376,0.001,0.182,0.340,0.215,0.245
Keury Mella,Off-speed,114,89.3,89.8,2311.6,-0.589,0.613,0.009,0.280,0.440,0.400,0.327
Kevin Gausman,Fastball,479,95.1,95.5,2312.5,-0.855,1.334,0.002,0.295,0.482,0.372,0.370
Kevin Gausman,Off-speed,496,84.3,84.6,1843.2,-0.894,0.375,0.002,0.149,0.298,0.206,0.203
Kevin Ginkel,Fastball,203,95.5,96.5,2387.3,-0.859, 1.374,0.005,0.421,0.632,0.536,0.492
Kevin Ginkel,Off-speed,137,84.1,84.5,2216.9, 0.252,-0.068,0.007,0.185,0.407,0.176,0.311
Keynan Middleton,Fastball,124,97.1,97.2,2489.3,-0.710,1.439,0.008,0.267,0.500,0.273,0.353
Kolby Allard,Fastball,307,91.5,91.3,2171.4,0.728,1.363,0.003,0.200,0.380,0.235,0.323
Kolby Allard,Off-speed,351,83.8,83.3,2099.9,0.030,0.413,0.003,0.262,0.400,0.311,0.340
Kris Bubic,Fastball,505,91.4,92.4,2180.1,0.505,1.359,0.002,0.299,0.464,0.403,0.390
Kris Bubic,Off-speed,427,79.2,79.9,2040.0,0.395,0.216,0.002,0.228,0.406,0.241,0.307
Kwang Hyun Kim,Fastball,298,89.9,90.8,2163.2, 0.034,1.290,0.003,0.182,0.303,0.182,0.244
Kwang Hyun Kim,Off-speed,315,79.7,80.6,2054.1,-0.215,0.182,0.003,0.211,0.342,0.250,0.266
Kyle Cody,Fastball,110,94.2,94.1,2157.8,-0.649,1.443,0.009,0.125,0.250,0.105,0.267
Kyle Cody,Off-speed,260,87.0,85.4,2336.3,-0.377,0.285,0.004,0.218,0.291,0.293,0.274
Kyle Finnegan,Off-speed,418,92.7,93.3,1860.3,-0.575,1.045,0.002,0.217,0.293,0.286,0.277
Kyle Freeland,Fastball,232,92.2,93.1,2451.2,0.591,1.166,0.004,0.306,0.444,0.312,0.362
Kyle Freeland,Off-speed,892,85.6,86.4,2119.4,0.345,0.180,0.001,0.274,0.432,0.304,0.345
Kyle Funkhouser,Off-speed,227,90.7,91.5,2215.7,-0.523,0.390,0.004,0.314,0.549,0.333,0.413
Kyle Gibson,Fastball,159,92.4,93.1,2265.3,-0.477,1.350,0.006,0.214,0.357,0.216,0.283
Kyle Gibson,Off-speed,980,86.7,87.4,2158.3,-0.556,0.467,0.001,0.290,0.484,0.338,0.395
Kyle Hart,Off-speed,187,82.8,83.0,2013.7,0.222,0.409,0.005,0.396,0.604,0.472,0.463
Kyle Hendricks,Fastball,233,87.4,87.1,1972.0,-0.473,1.243,0.004,0.196,0.348,0.212,0.266
Kyle Hendricks,Off-speed,929,81.4,80.9,2132.2,-0.544,0.475,0.001,0.248,0.376,0.281,0.280
Kyle McGowin,Off-speed,176,83.7,83.7,2757.7,0.317,0.237,0.006,0.175,0.250,0.261,0.232
Kyle Ryan,Off-speed,221,85.3,86.0,2006.5,0.064,0.301,0.005,0.277,0.574,0.265,0.397
Kyle Wright,Fastball,107,94.7,94.5,2424.9,-0.907,1.145,0.009,0.316,0.526,0.312,0.421
Kyle Wright,Off-speed,534,89.4,89.1,2310.8,-0.502,0.423,0.002,0.232,0.416,0.253,0.334
Kyle Zimmer,Fastball,179,94.1,94.4,2162.3,-0.026, 1.251,0.006,0.161,0.226,0.294,0.294
Kyle Zimmer,Off-speed,194,81.6,81.7,1992.6, 0.175,-0.110,0.005,0.184,0.286,0.243,0.230
Lance Lynn,Fastball,702,94.0,93.9,2492.0,-0.556,1.298,0.001,0.211,0.414,0.253,0.317
