name,salary,year
Mike Leake,35571428,2019
Robbie Ray,34000000,2019
Taijuan Walker,30000000,2019
Luke Weaver,28000000,2019
Zac Gallen,26857142,2019
Alex Young,25000000,2019
Dallas Keuchel,35571428,2019
Julio Teheran,34000000,2019
Mike Foltynewicz,30000000,2019
Max Fried,28000000,2019
Bryse Wilson,26857142,2019
Kyle Wright,25000000,2019
Michael Soroka,25000000,2019
Alex Cobb,35571428,2019
Dylan Bundy,34000000,2019
Aaron Brooks,30000000,2019
Josh Rogers,28000000,2019
Tayler Scott,26857142,2019
Asher Wojciechowski,25000000,2019
Gabriel Ynoa,25000000,2019
David Price,35571428,2019
Rick Porcello,34000000,2019
Nathan Eovaldi,30000000,2019
Chris Sale,28000000,2019
Eduardo Rodriguez,26857142,2019
Jhoulys Chacin,25000000,2019
Ivan Nova,35571428,2019
Carlos Rodon,34000000,2019
Reynaldo Lopez,30000000,2019
Lucas Giolito,28000000,2019
Dylan Covey,26857142,2019
Dylan Cease,25000000,2019
Michael Kopech,25000000,2019
Jon Lester,35571428,2019
Yu Darvish,34000000,2019
Cole Hamels,30000000,2019
Jose Quintana,28000000,2019
Kyle Hendricks,26857142,2019
Allen Webster,25000000,2019
Kendall Graveman,25000000,2019
Trevor Bauer,35571428,2019
Alex Wood,34000000,2019
Sonny Gray,30000000,2019
Anthony DeSclafani,28000000,2019
Tyler Mahle,26857142,2019
Luis Castillo,25000000,2019
Danny Salazar,35571428,2019
Cody Anderson,34000000,2019
Mike Clevinger,30000000,2019
Shane Bieber,28000000,2019
Aaron Civale,26857142,2019
Zach Plesac,25000000,2019
Adam Plutko,25000000,2019
Chad Bettis,35571428,2019
Jon Gray,34000000,2019
Tyler Anderson,30000000,2019
German Marquez,28000000,2019
Kyle Freeland,26857142,2019
Antonio Senzatela,25000000,2019
Chi Chi Gonzalez,25000000,2019
Jeff Hoffman,23500000,2019
Peter Lambert,22500000,2019
Tim Melville,22242857,2019
Jordan Zimmermann,35571428,2019
Tyson Ross,34000000,2019
Michael Fulmer,30000000,2019
Matt Boyd,28000000,2019
Matt Moore,26857142,2019
Daniel Norris,25000000,2019
Spencer Turnbull,25000000,2019
Edwin Jackson,23500000,2019
Zack Greinke,35571428,2019
Justin Verlander,34000000,2019
Gerrit Cole,30000000,2019
Wade Miley,28000000,2019
Lance McCullers,26857142,2019
Aaron Sanchez,25000000,2019
Brad Peacock,25000000,2019
Jose Urquidy,23500000,2019
Danny Duffy,35571428,2019
Mike Montgomery,34000000,2019
Jake Junis,30000000,2019
Brad Keller,28000000,2019
Jorge Lopez,26857142,2019
Trevor Oaks,25000000,2019
Glenn Sparkman,25000000,2019
Andrew Heaney,35571428,2019
Felix Pena,34000000,2019
Jaime Barria,30000000,2019
Griffin Canning,28000000,2019
Dillon Peters,26857142,2019
Patrick Sandoval,25000000,2019
Jose Suarez,25000000,2019
Clayton Kershaw,35571428,2019
Rich Hill,34000000,2019
Hyun-Jin Ryu,30000000,2019
Ross Stripling,28000000,2019
Walker Buehler,26857142,2019
Caleb Smith,35571428,2019
Sandy Alcantara,34000000,2019
Elieser Hernandez,30000000,2019
Pablo Lopez,28000000,2019
Zach Davies,35571428,2019
Jordan Lyles,34000000,2019
Gio Gonzalez,30000000,2019
Brandon Woodruff,28000000,2019
Adrian Houser,26857142,2019
Jake Odorizzi,35571428,2019
Kyle Gibson,34000000,2019
Michael Pineda,30000000,2019
Martin Perez,28000000,2019
Jose Berrios,26857142,2019
Randy Dobnak,25000000,2019
Masahiro Tanaka,35571428,2019
J.A. Happ,34000000,2019
James Paxton,30000000,2019
C.C. Sabathia,28000000,2019
Luis Severino,26857142,2019
Jordan Montgomery,25000000,2019
Domingo German,25000000,2019
Jacob deGrom,35571428,2019
Marcus Stroman,34000000,2019
Noah Syndergaard,30000000,2019
Zack Wheeler,28000000,2019
Steven Matz,26857142,2019
Chris Flexen,25000000,2019
Corey Oswalt,25000000,2019
Tanner Roark,35571428,2019
Michael Fiers,34000000,2019
Sean Manaea,30000000,2019
Brett Anderson,28000000,2019
Chris Bassitt,26857142,2019
Daniel Gossett,25000000,2019
Frankie Montas,25000000,2019
Homer Bailey,23500000,2019
Jake Arrieta,35571428,2019
Jason Vargas,34000000,2019
Drew Smyly,30000000,2019
Aaron Nola,28000000,2019
Vincent Velasquez,26857142,2019
Zach Eflin,25000000,2019
Enyel De Los Santos,25000000,2019
Chris Archer,35571428,2019
Jameson Taillon,34000000,2019
Trevor Williams,30000000,2019
Joe Musgrove,28000000,2019
Chad Kuhl,26857142,2019
Steven Brault,25000000,2019
Chris Stratton,25000000,2019
Dario Agrazal,23500000,2019
JT Brubaker,22500000,2019
Mitch Keller,22242857,2019
James Marvel,22000000,2019
Garrett Richards,35571428,2019
Matthew Strahm,34000000,2019
Dinelson Lamet,30000000,2019
Joey Lucchesi,28000000,2019
Eric Lauer,26857142,2019
Jacob Nix,25000000,2019
Brett Kennedy,25000000,2019
Pedro Avila,23500000,2019
Ronald Bolanos,22500000,2019
Anderson Espinoza,22242857,2019
Chris Paddack,22000000,2019
Cal Quantrill,21000000,2019
Johnny Cueto,35571428,2019
Jeff Samardzija,34000000,2019
Madison Bumgarner,30000000,2019
Dereck Rodriguez,28000000,2019
Tyler Beede,26857142,2019
Logan Webb,25000000,2019
Felix Hernandez,35571428,2019
Yusei Kikuchi,34000000,2019
Marco Gonzales,30000000,2019
Tom Milone,28000000,2019
Justus Sheffield,26857142,2019
Adam Wainwright,35571428,2019
Miles Mikolas,34000000,2019
Michael Wacha,30000000,2019
Jack Flaherty,28000000,2019
Dakota Hudson,26857142,2019
Austin Gomber,25000000,2019
Charlie Morton,35571428,2019
Blake Snell,34000000,2019
Trevor Richards,30000000,2019
Tyler Glasnow,28000000,2019
Ryan Yarbrough,26857142,2019
Yonny Chirinos,25000000,2019
Brendan McKay,25000000,2019
Austin Pruitt,23500000,2019
Corey Kluber,35571428,2019
Mike Minor,34000000,2019
Lance Lynn,30000000,2019
Kolby Allard,28000000,2019
Brock Burke,26857142,2019
Ariel Jurado,25000000,2019
Matt Shoemaker,35571428,2019
Clay Buchholz,34000000,2019
Ryan Borucki,30000000,2019
Trent Thornton,28000000,2019
Jacob Waguespack,26857142,2019
T.J. Zeuch,25000000,2019
Yennsy Diaz,25000000,2019
Anthony Kay,23500000,2019
Stephen Strasburg,35571428,2019
Max Scherzer,34000000,2019
Patrick Corbin,30000000,2019
Anibal Sanchez,28000000,2019
Joe Ross,26857142,2019
Austin Voth,25000000,2019
Kyle McGowin,25000000,2019
