player_name,Salary
Mike Leake,16000000
Robbie Ray,6050000
Taijuan Walker,5025000
Luke Weaver,581300
Zac Gallen,555000
Alex Young,555000
Dallas Keuchel,21210000
Julio Teheran,11166668
Mike Foltynewicz,5475000
Max Fried,565000
Bryse Wilson,565000
Kyle Wright,565000
Michael Soroka,555000
Alex Cobb,14000000
Dylan Bundy,2800000
Aaron Brooks,560000
Josh Rogers,555000
Tayler Scott,555000
Asher Wojciechowski,555000
Gabriel Ynoa,555000
David Price,31000000
Rick Porcello,21125000
Nathan Eovaldi,17000000
Chris Sale,15000000
Eduardo Rodriguez,4325000
Jhoulys Chacin,555000
Ivan Nova,9166668
Carlos Rodon,4200000
Reynaldo Lopez,580000
Lucas Giolito,573000
Dylan Covey,571000
Dylan Cease,555000
Michael Kopech,555000
Jon Lester,27500000
Yu Darvish,20000000
Cole Hamels,20000000
Jose Quintana,10500000
Kyle Hendricks,7405000
Allen Webster,650000
Kendall Graveman,575000
Trevor Bauer,13000000
Alex Wood,9650000
Sonny Gray,7500000
Anthony DeSclafani,2125000
Tyler Mahle,570000
Luis Castillo,557500
Danny Salazar,4500000
Cody Anderson,641250
Mike Clevinger,592200
Shane Bieber,559600
Aaron Civale,555000
Zach Plesac,555000
Adam Plutko,555000
Chad Bettis,3325000
Jon Gray,2925000
Tyler Anderson,2625000
German Marquez,1300000
Kyle Freeland,565000
Antonio Senzatela,560000
Chi Chi Gonzalez,555000
Jeff Hoffman,555000
Peter Lambert,555000
Tim Melville,555000
Jordan Zimmermann,25000000
Tyson Ross,6000000
Michael Fulmer,2800000
Matt Boyd,2600000
Matt Moore,2500000
Daniel Norris,1275000
Spencer Turnbull,556100
Edwin Jackson,555000
Zack Greinke,34500000
Justin Verlander,28075000
Gerrit Cole,13500000
Wade Miley,5000000
Lance McCullers,4100000
Aaron Sanchez,3900000
Brad Peacock,3110000
Jose Urquidy,555000
Danny Duffy,15250000
Mike Montgomery,2440000
Jake Junis,578250
Brad Keller,578175
Jorge Lopez,562250
Trevor Oaks,555350
Glenn Sparkman,555000
Andrew Heaney,3400000
Felix Pena,569000
Jaime Barria,563500
Griffin Canning,555000
Dillon Peters,555000
Patrick Sandoval,555000
Jose Suarez,555000
Clayton Kershaw,31000000
Rich Hill,18666668
Hyun-Jin Ryu,17900000
Ross Stripling,595000
Walker Buehler,570000
Caleb Smith,556500
Sandy Alcantara,555000
Elieser Hernandez,555000
Pablo Lopez,555000
Zach Davies,2600000
Jordan Lyles,2050000
Gio Gonzalez,2000000
Brandon Woodruff,561400
Adrian Houser,555000
Jake Odorizzi,9500000
Kyle Gibson,8125000
Michael Pineda,8000000
Martin Perez,3500000
Jose Berrios,620000
Randy Dobnak,555000
Masahiro Tanaka,22000000
J.A. Happ,17000000
James Paxton,8575000
C.C. Sabathia,8000000
Luis Severino,4500000
Jordan Montgomery,596600
Domingo German,577500
Jacob deGrom,9500000
Marcus Stroman,7400000
Noah Syndergaard,6000000
Zack Wheeler,5975000
Steven Matz,2625000
Chris Flexen,555000
Corey Oswalt,555000
Tanner Roark,10000000
Michael Fiers,6000000
Sean Manaea,3150000
Brett Anderson,1500000
Chris Bassitt,565000
Daniel Gossett,560000
Frankie Montas,560000
Homer Bailey,555000
Jake Arrieta,25000000
Jason Vargas,8000000
Drew Smyly,7000000
Aaron Nola,4500000
Vincent Velasquez,2249000
Zach Eflin,590000
Enyel De Los Santos,555000
Chris Archer,7666668
Jameson Taillon,587500
Trevor Williams,584000
Joe Musgrove,582500
Chad Kuhl,578000
Steven Brault,574500
Chris Stratton,567500
Dario Agrazal,555000
JT Brubaker,555000
Mitch Keller,555000
James Marvel,555000
Garrett Richards,7000000
Matthew Strahm,581700
Dinelson Lamet,566700
Joey Lucchesi,565100
Eric Lauer,562500
Jacob Nix,556800
Brett Kennedy,556000
Pedro Avila,555000
Ronald Bolanos,555000
Anderson Espinoza,555000
Chris Paddack,555000
Cal Quantrill,555000
Johnny Cueto,21000000
Jeff Samardzija,19800000
Madison Bumgarner,12000000
Dereck Rodriguez,561250
Tyler Beede,555000
Logan Webb,555000
Felix Hernandez,27857142
Yusei Kikuchi,9500000
Marco Gonzales,900000
Tom Milone,555000
Justus Sheffield,555000
Adam Wainwright,10000000
Miles Mikolas,8750000
Michael Wacha,6350000
Jack Flaherty,562100
Dakota Hudson,559100
Austin Gomber,555000
Charlie Morton,15000000
Blake Snell,1600000
Trevor Richards,570000
Tyler Glasnow,566700
Ryan Yarbrough,563400
Yonny Chirinos,561800
Brendan McKay,555000
Austin Pruitt,555000
Corey Kluber,17700000
Mike Minor,9833333
Lance Lynn,9333333
Kolby Allard,555000
Brock Burke,555000
Ariel Jurado,555000
Matt Shoemaker,3500000
Clay Buchholz,3000000
Ryan Borucki,565200
Yennsy Diaz,555000
Anthony Kay,555000
Trent Thornton,555000
Jacob Waguespack,555000
T.J. Zeuch,555000
Stephen Strasburg,39333334
Max Scherzer,37505562
Patrick Corbin,12916666
Anibal Sanchez,10000000
Joe Ross,1000000
Austin Voth,556000
Kyle McGowin,555000
