player_name,Salary
Zack Greinke,34000000
Patrick Corbin,7500000
Taijuan Walker,4825000
Robbie Ray,3950000
Clay Buchholz,1500000
Zack Godley,579200
Yoan Lopez,545000
Brandon McCarthy,11500000
Julio Teheran,8166666
Kevin Gausman,5600000
Mike Foltynewicz,2200000
Anibal Sanchez,1000000
Luiz Gohara,555000
Sean Newcomb,555000
Kolby Allard,545000
Michael Soroka,545000
Touki Toussaint,545000
Bryse Wilson,545000
Kyle Wright,545000
Alex Cobb,14000000
Andrew Cashner,9500000
Dylan Bundy,1640000
Miguel Castro,553000
Gabriel Ynoa,549000
Luis Ortiz,545000
Josh Rogers,545000
Jimmy Yacabonis,545000
David Price,30000000
Rick Porcello,21125000
Chris Sale,12515000
Drew Pomeranz,8500000
Eduardo Rodriguez,2375000
Nathan Eovaldi,2000000
Steven Wright,1100000
Brian Johnson,548000
James Shields,21000000
Miguel Gonzalez,4750000
Carlos Rodon,2300000
Lucas Giolito,555000
Reynaldo Lopez,555000
Dylan Covey,545000
Michael Kopech,545000
Thyago Vieira,545000
Jon Lester,27500000
Yu Darvish,25000000
Cole Hamels,22500000
Tyler Chatwood,12500000
Jose Quintana,8850000
Kyle Hendricks,4175000
Drew Smyly,3000000
Mike Montgomery,611250
Allen Webster,545000
Homer Bailey,21000000
Matt Harvey,5625000
Anthony DeSclafani,860000
Luis Castillo,555000
Robert Stephenson,555000
Tyler Mahle,545000
Sal Romano,545000
Lucas Sims,545000
Corey Kluber,10700000
Carlos Carrasco,8000000
Trevor Bauer,6525000
Danny Salazar,5000000
Josh Tomlin,3000000
Mike Clevinger,558500
Shane Bieber,545000
Chad Bettis,2000000
Tyler Anderson,555000
Jon Gray,555000
Kyle Freeland,550000
German Marquez,550000
Antonio Senzatela,545000
Jordan Zimmermann,24000000
Francisco Liriano,4000000
Michael Fulmer,575200
Matt Boyd,562000
Daniel Norris,561400
Spencer Turnbull,545000
Sandy Baez,545000
Justin Verlander,28100000
Dallas Keuchel,13200000
Charlie Morton,8875000
Gerrit Cole,6750000
Lance McCullers,2450000
Josh James,545000
Framber Valdez,545000
Ian Kennedy,16000000
Danny Duffy,14000000
Nate Karns,1375000
Jesse Hahn,574000
Jake Junis,554250
Burch Smith,552400
Brad Keller,545000
Jorge Lopez,545000
Eric Skoglund,545000
Garrett Richards,7300000
Matt Shoemaker,4125000
Shohei Ohtani,2315000
J.C. Ramirez,1900000
Tyler Skaggs,1875000
Odrisamer Despaigne,1090000
Andrew Heaney,800000
Alex Meyer,551500
Jaime Barria,545000
Parker Bridwell,545000
Ty Buttrey,545000
John Lamb,545000
Deck McGuire,545000
Felix Pena,545000
Nicholas Tropeano,545000
Clayton Kershaw,35571428
Rich Hill,16666666
Hyun-Jin Ryu,7833333
Kenta Maeda,6125000
Alex Wood,6000000
Ross Stripling,555000
Wei-Yin Chen,10000000
Dan Straily,3375000
Caleb Smith,1090000
Jose Urena,575000
Sandy Alcantara,545000
Jeff Brigham,545000
Pablo Lopez,545000
Trevor Richards,545000
Jhoulys Chacin,8750000
Chase Anderson,4750000
Jimmy Nelson,3700000
Wade Miley,2500000
Jordan Lyles,750000
Zach Davies,572000
Brent Suter,556500
Junior Guerra,545000
Freddy Peralta,545000
Ervin Santana,13500000
Jake Odorizzi,6300000
Kyle Gibson,4200000
Michael Pineda,2000000
Jose Berrios,570000
Chase De Jong,545000
Stephen Gonsalves,545000
Adalberto Mejia,545000
Aaron Slegers,545000
Kohl Stewart,545000
Masahiro Tanaka,22000000
J.A. Happ,13000000
Lance Lynn,12000000
C.C. Sabathia,10500000
Sonny Gray,6500000
Luis Severino,604975
Jordan Montgomery,580450
Domingo German,548225
Chance Adams,545000
Jacob deGrom,7400000
Jason Vargas,6000000
Noah Syndergaard,2975000
Zack Wheeler,1900000
Steven Matz,577000
Drew Gagnon,545000
Corey Oswalt,545000
Drew Smith,545000
Michael Fiers,6000000
Brett Anderson,4000000
Kendall Graveman,2360000
Trevor Cahill,1500000
Edwin Jackson,1500000
Jharel Cotton,550000
Sean Manaea,550000
Andrew Triggs,550000
Paul Blackburn,547500
Daniel Gossett,547500
Daniel Mengden,547500
Chris Bassitt,545000
Frankie Montas,545000
Jake Arrieta,30000000
Aaron Nola,573000
Jerad Eickhoff,568000
Vincent Velasquez,559000
Nick Pivetta,551000
Drew Anderson,545000
Enyel De Los Santos,545000
Zach Eflin,545000
Ivan Nova,9416666
Chris Archer,6416666
Joe Musgrove,571000
Jameson Taillon,571000
Chad Kuhl,570500
Trevor Williams,569500
Clay Holmes,545000
Nick Kingham,545000
Clayton Richard,3500000
Luis Perdomo,566800
Dinelson Lamet,555700
Bryan Mitchell,552800
Brett Kennedy,545000
Eric Lauer,545000
Joey Lucchesi,545000
Jacob Nix,545000
Trey Wingenter,545000
Johnny Cueto,21000000
Jeff Samardzija,19800000
Madison Bumgarner,12000000
Chris Stratton,552500
Casey Kelly,545000
Dereck Rodriguez,545000
Andrew Suarez,545000
Felix Hernandez,26857142
Mike Leake,17000000
James Paxton,4900000
Erasmo Ramirez,4200000
Wade LeBlanc,700000
Marco Gonzales,550300
Nick Rumbelow,545000
Adam Wainwright,19500000
Carlos Martinez,11700000
Miles Mikolas,7750000
Michael Wacha,5300000
Tyson Ross,2700000
Luke Weaver,550800
Jack Flaherty,545000
Austin Gomber,545000
Blake Snell,558200
Jacob Faria,555000
Jalen Beeks,545000
Brent Honeywell,545000
Mike Minor,8333333
Martin Perez,6000000
Doug Fister,3500000
Bartolo Colon,2450000
Yovani Gallardo,2300000
Austin Bibens-Dirkx,545000
Ariel Jurado,545000
Connor Sadzeck,545000
Marco Estrada,13000000
Marcus Stroman,6500000
Aaron Sanchez,2700000
Ryan Borucki,545000
Sam Gaviglio,545000
Taylor Guerrieri,545000
Sean Reid-Foley,545000
Max Scherzer,22242857
Stephen Strasburg,18333333
Gio Gonzalez,12000000
Tanner Roark,6475000
Jeremy Hellickson,2000000
Joe Ross,567900
Jimmy Cordero,545000
Erick Fedde,545000
Kyle McGowin,545000
Jefry Rodriguez,545000
Austin Voth,545000
