player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Average Balls,Average Barrel,Corner %,Total Strikes,Total Balls,Total Hit,Strike Percent,Ball Percent,Hit Percent,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID,ERA,W,L,ER,Total Wins,Total Loss,Total ER
Aaron Loup,700,89.79042857142858,88.56071942446043,2119.4956647398844,1.304857142857143,0.576,0.8471428571428572,0.005714285714285714,0.024285714285714285,339,241,120,0.48428571428571426,0.3442857142857143,0.17142857142857143,0.26993865030674846,0.4601226993865031,0.336283185840708,0.3668181818181818,571901,1050000,2015,4.46,2,5,21,2,5,21
Adam Ottavino,142,90.85985915492958,90.6144,2404.4333333333334,-0.29859154929577464,0.5408450704225353,0.9647887323943662,0.007042253521126761,0.04225352112676056,71,52,19,0.5,0.36619718309859156,0.13380281690140844,0.09375,0.09375,0.15789473684210525,0.156,493603,1300000,2015,0,1,0,0,1,0,0
Adam Wainwright,370,84.75837837837838,84.67908309455588,2318.42774566474,-0.11432432432432432,0.5897297297297297,0.8540540540540541,0.008108108108108109,0.02702702702702703,161,124,85,0.43513513513513513,0.33513513513513515,0.22972972972972974,0.24509803921568626,0.3333333333333333,0.30120481927710846,0.2641904761904762,425794,19500000,2015,1.61,2,1,5,2,1,5
Adam Warren,2011,88.78707110890105,88.17717445952741,2082.6778968861663,-0.32222774738935855,0.9729985082048732,0.9204375932371954,0.005469915464942815,0.030830432620586774,882,762,367,0.43858776727996024,0.3789159622078568,0.182496270512183,0.23956043956043957,0.3516483516483517,0.28169014084507044,0.3017269076305221,476589,1700000,2015,3.29,7,7,48,7,7,48
AJ Ramos,927,88.53074433656958,87.38425110132158,2291.5553047404064,-0.37152103559870553,0.7225458468176915,0.883495145631068,0.004314994606256742,0.039913700107874865,448,341,138,0.48327939590075514,0.36785329018338725,0.1488673139158576,0.17307692307692307,0.2548076923076923,0.24444444444444444,0.24425531914893614,573109,3400000,2015,2.3,2,4,18,2,4,18
Alexi Ogando,964,92.24989626556017,91.79604166666667,2223.5048859934855,-0.31815352697095434,1.2552904564315353,0.9149377593360996,0.011410788381742738,0.03112033195020747,426,364,174,0.44190871369294604,0.3775933609958506,0.18049792531120332,0.22935779816513763,0.44495412844036697,0.2392638036809816,0.3320247933884297,468396,2000000,2015,3.99,3,1,29,3,1,29
Alfredo Simon,2641,88.41726618705036,87.47943851324634,1920.8717131474104,-0.9060961756910262,0.9049602423324499,0.9166982203710715,0.012873911397198031,0.047330556607345704,1104,999,538,0.41802347595607725,0.37826580840590684,0.2037107156380159,0.27892234548335976,0.47702060221870046,0.3037475345167653,0.3632618025751073,430580,2000000,2015,5.05,13,12,105,13,12,105
Andrew Cashner,2777,92.24715417867435,91.14486426999267,2089.9941497659906,-0.7923991354466858,1.0986311239193083,0.8779258192293842,0.009362621534029529,0.03674351585014409,1283,988,506,0.462009362621534,0.3557796182931221,0.1822110190853439,0.27414330218068533,0.43302180685358255,0.32987551867219916,0.3449159663865546,488768,7150000,2015,4.34,6,16,89,6,16,89
Andrew Miller,831,89.2488567990373,89.45997490589711,2200.826666666667,-0.0654632972322503,0.7010830324909747,0.7966305655836342,0.007220216606498195,0.030084235860409144,446,282,103,0.5367027677496992,0.33935018050541516,0.12394705174488568,0.12903225806451613,0.22043010752688172,0.1958762886597938,0.22464114832535886,453192,9000000,2015,2.04,3,2,14,3,2,14
Anibal Sanchez,2492,88.87536115569823,88.53193588162762,2199.3235419327375,-0.3190609951845907,1.2134831460674158,0.8491171749598716,0.011235955056179775,0.03571428571428571,1119,905,468,0.44903691813804175,0.3631621187800963,0.18780096308186195,0.24958123953098826,0.4455611390284757,0.2798165137614679,0.32932098765432105,434671,16800000,2015,4.99,10,10,87,10,10,87
Antonio Bastardo,959,91.11147028154328,90.6101802757158,2436.904267589389,0.5850886339937434,1.6120959332638165,0.9520333680917622,0.008342022940563087,0.020855057351407715,474,353,132,0.4942648592283629,0.3680917622523462,0.13764337851929093,0.1881720430107527,0.2956989247311828,0.24603174603174602,0.27877358490566034,455374,5375000,2015,2.98,4,1,19,4,1,19
Arodys Vizcaino,455,93.85714285714286,92.63094170403588,2295.107398568019,-0.8685714285714285,0.9663736263736263,0.865934065934066,0.01098901098901099,0.05714285714285714,215,166,74,0.4725274725274725,0.3648351648351648,0.16263736263736264,0.23529411764705882,0.35294117647058826,0.323943661971831,0.28981981981981986,527055,897500,2015,1.6,3,1,6,3,1,6
Aroldis Chapman,1055,97.24976303317536,97.84960861056751,2396.583726415094,0.38739336492890997,1.5207582938388626,0.9033175355450237,0.006635071090047393,0.05023696682464455,557,389,109,0.5279620853080569,0.3687203791469194,0.1033175355450237,0.17674418604651163,0.22325581395348837,0.3364485981308411,0.25537848605577684,547973,9468443,2015,1.63,4,4,12,4,4,12
Brad Brach,1095,91.31744292237443,90.08253676470588,2174.8219584569733,-0.8402739726027397,1.004566210045662,0.9223744292237442,0.00821917808219178,0.019178082191780823,515,405,175,0.4703196347031963,0.3698630136986301,0.1598173515981735,0.2163265306122449,0.37142857142857144,0.27439024390243905,0.295970695970696,542960,1250000,2015,2.72,5,3,24,5,3,24
Brad Ziegler,834,81.56534772182255,80.74758269720101,1838.3932291666667,-0.8371702637889689,-0.5870503597122302,0.8705035971223022,0.008393285371702638,0.0035971223021582736,354,299,181,0.4244604316546763,0.35851318944844124,0.2170263788968825,0.19718309859154928,0.28169014084507044,0.22033898305084745,0.23946902654867258,446899,5500000,2015,1.85,0,3,14,0,3,14
Brett Anderson,2432,86.47409539473684,84.81936974789916,1960.5702235343738,0.33170230263157896,0.3046875,0.8351151315789473,0.0078125,0.016036184210526317,1050,861,521,0.4317434210526316,0.3540296052631579,0.21422697368421054,0.27580645161290324,0.3870967741935484,0.3115079365079365,0.3158433734939759,474463,15800000,2015,3.69,10,9,74,10,9,74
Brett Cecil,792,88.49429657794677,86.98237547892721,2093.915474642393,0.27807351077313053,0.6749049429657795,0.8686868686868687,0.006313131313131313,0.03929024081115336,386,287,119,0.48737373737373735,0.36237373737373735,0.15025252525252525,0.20652173913043478,0.33152173913043476,0.2982456140350877,0.271969696969697,446399,3800000,2015,2.48,5,5,15,5,5,15
Brian Matusz,688,87.57674418604651,86.04275256222547,2304.433110367893,0.37020348837209305,1.320203488372093,0.876453488372093,0.010174418604651164,0.02616279069767442,324,257,107,0.47093023255813954,0.373546511627907,0.1555232558139535,0.21768707482993196,0.3401360544217687,0.28,0.3069047619047619,451085,3900000,2015,2.94,1,4,16,1,4,16
Bryan Morris,865,92.14231213872833,92.01058139534884,2105.2601307189543,-0.4509826589595376,0.5489017341040462,0.8057803468208092,0.003468208092485549,0.04046242774566474,382,307,176,0.4416184971098266,0.35491329479768785,0.20346820809248556,0.2837209302325581,0.3767441860465116,0.34523809523809523,0.33506329113924055,457768,1350000,2015,3.14,5,4,22,5,4,22
Bryan Shaw,868,89.7610599078341,88.7386574074074,2366.0416171224733,0.4154377880184332,0.6761520737327189,0.8905529953917051,0.014976958525345621,0.06451612903225806,409,300,159,0.47119815668202764,0.3456221198156682,0.18317972350230416,0.22926829268292684,0.3853658536585366,0.26490066225165565,0.29768181818181816,543766,2750000,2015,2.95,3,3,21,3,3,21
Carlos Carrasco,2465,91.81387987012987,91.53037922506184,2135.7279933249897,-0.8181818181818182,0.8362418831168831,0.7809330628803245,0.008113590263691683,0.036525974025974024,1251,801,413,0.5075050709939148,0.32494929006085194,0.16754563894523328,0.2332214765100671,0.3775167785234899,0.30982367758186397,0.29493788819875777,471911,4500000,2015,3.63,14,12,74,14,12,74
