player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Aaron Loup,186,86.9258064516129,85.52540540540541,2205.1945945945945,1.0354838709677419,0.38225806451612904,0.005376344086021506,12,0.21621621621621623,0.40540540540540543,0.16666666666666666,0.3611627906976744,571901,1050000,2016
Adam Ottavino,343,88.88775510204081,89.54053254437869,2404.203761755486,-0.08425655976676384,0.39387755102040817,0.0029154518950437317,26,0.2,0.32857142857142857,0.16417910447761194,0.27565789473684216,493603,1300000,2016
Adam Wainwright,3040,84.75822368421052,84.50775862068966,2339.7332883187037,-0.07411184210526316,0.40901315789473686,3.289473684210526e-4,154,0.2825788751714678,0.4224965706447188,0.2614742698191933,0.33390920554854986,425794,19500000,2016
Adam Warren,1044,88.81973180076628,88.33251473477407,2147.768218623482,-0.3414750957854406,0.9594827586206897,9.578544061302681e-4,45,0.23943661971830985,0.4084507042253521,0.20388349514563106,0.31728813559322033,476589,1700000,2016
Addison Reed,1067,91.11302717900656,91.71062030075188,2104.097609561753,-0.25941893158388,1.269353327085286,9.372071227741331e-4,86,0.19291338582677164,0.25984251968503935,0.17928286852589642,0.21243346007604563,592665,5300000,2016
AJ Ramos,1054,86.44193548387096,85.42480544747082,2351.868686868687,-0.23548387096774193,0.6565464895635673,9.487666034155598e-4,70,0.2186046511627907,0.2651162790697674,0.21100917431192662,0.28792156862745094,573109,3400000,2016
Alex Cobb,386,87.00751295336788,84.9154046997389,2053.8376963350784,-0.7336787564766839,0.9178756476683938,0.0025906735751295338,16,0.3368421052631579,0.5894736842105263,0.2967032967032967,0.41504854368932037,502171,4000000,2016
Alexi Ogando,623,90.94012841091492,89.71610305958131,2263.683185840708,-0.5070626003210272,1.2208667736757624,0.0016051364365971107,29,0.2711864406779661,0.3898305084745763,0.25,0.3387943262411348,468396,2000000,2016
Alfredo Simon,1070,88.7207476635514,87.78016997167138,2054.564375605034,-0.6776635514018692,0.855981308411215,9.345794392523365e-4,38,0.35294117647058826,0.5966386554621849,0.30837004405286345,0.46335740072202164,430580,2000000,2016
Andrew Cashner,2038,91.31403336604514,90.0304583538689,2142.27065382666,-0.6712463199214916,1.1080471050049068,4.906771344455348e-4,98,0.275626423690205,0.5079726651480638,0.24056603773584906,0.3819718309859156,488768,7150000,2016
Andrew Miller,985,88.65065989847716,89.12935779816513,2367.4701754385965,-0.17451776649746192,0.5520812182741117,0.0010152284263959391,106,0.16740088105726872,0.3039647577092511,0.14027149321266968,0.22857142857142856,453192,9000000,2016
Anibal Sanchez,2204,88.05149727767694,87.72312243969048,2187.8652130822597,-0.39342105263157895,1.2205989110707804,4.5372050816696913e-4,118,0.2896281800391389,0.4794520547945205,0.2525458248472505,0.3667491166077739,434671,16800000,2016
Antonio Bastardo,1108,89.01209386281589,88.48783524904215,2373.50525210084,0.48772563176895306,1.5616425992779783,9.025270758122744e-4,66,0.24675324675324675,0.43722943722943725,0.20982142857142858,0.3487547169811321,455374,5375000,2016
Arodys Vizcaino,661,92.79712556732224,91.404,2396.8992932862193,-0.729803328290469,0.8580937972768532,0.0015128593040847202,50,0.2222222222222222,0.3055555555555556,0.20567375886524822,0.2844171779141104,527055,897500,2016
Aroldis Chapman,815,98.7079754601227,99.24556962025316,2532.998347107438,0.35828220858895704,1.5671165644171778,0.001226993865030675,73,0.15204678362573099,0.22807017543859648,0.14201183431952663,0.20459459459459461,547973,9468443,2016
Bartolo Colon,2462,87.75432750914263,85.86450144807613,2133.001259445844,-1.1217797643234457,1.012027631044291,4.0617384240454913e-4,108,0.26120556414219476,0.42040185471406494,0.23285486443381181,0.31345132743362836,112526,7250000,2016
Blake Wood,1122,93.34322638146168,92.99990974729242,2155.4621435594886,-0.6066844919786096,0.8605169340463458,8.9126559714795e-4,71,0.24279835390946503,0.3868312757201646,0.21940928270042195,0.32404332129963903,502028,600000,2016
Brad Brach,1199,91.71818181818182,90.56951423785594,2225.812621359223,-0.7135946622185154,0.9698915763135947,8.340283569641367e-4,83,0.19844357976653695,0.311284046692607,0.17716535433070865,0.255354609929078,542960,1250000,2016
Brad Ziegler,878,80.48781321184511,79.70686498855835,1969.700477326969,-0.6816628701594533,-0.529498861047836,0.0011389521640091116,46,0.2557077625570776,0.3333333333333333,0.24770642201834864,0.29345991561181434,446899,5500000,2016
